Unnamed: 0,dataset,image_name,user_label,true_label,age,gender,user_validation
72.0,MNIST,less_Mnist_460,no illusion,no illusion,23,Female,yes
73.0,MNIST,less_Mnist_90,no illusion,no illusion,23,Female,yes
74.0,MNIST,Mnist_995,1,1,23,Female,yes
75.0,MNIST,Mnist_197,1,1,23,Female,yes
76.0,MNIST,Mnist_505,1,1,23,Female,yes
77.0,MNIST,Mnist_431,1,1,23,Female,yes
78.0,MNIST,Mnist_515,6,6,23,Female,yes
79.0,MNIST,Mnist_420,1,1,23,Female,yes
80.0,MNIST,Mnist_359,4,7,23,Female,yes
81.0,MNIST,Mnist_648,1,1,23,Female,yes
82.0,MNIST,Mnist_582,0,0,23,Female,yes
83.0,MNIST,Mnist_639,5,5,23,Female,yes
84.0,MNIST,Mnist_44,2,2,23,Female,yes
85.0,MNIST,Mnist_701,1,1,23,Female,yes
86.0,MNIST,Mnist_1080,0,0,23,Female,yes
87.0,MNIST,Mnist_1037,2,2,23,Female,yes
88.0,MNIST,Mnist_630,2,2,23,Female,yes
89.0,MNIST,Mnist_911,4,4,23,Female,yes
90.0,MNIST,Mnist_30,1,1,23,Female,yes
91.0,MNIST,Mnist_521,8,8,23,Female,yes
92.0,MNIST,Mnist_251,4,4,23,Female,yes
93.0,MNIST,Mnist_855,0,0,23,Female,yes
94.0,MNIST,Mnist_526,0,0,23,Female,yes
95.0,MNIST,Mnist_140,4,4,23,Female,yes
96.0,MNIST,Mnist_384,7,7,23,Female,yes
97.0,MNIST,Mnist_1074,9,9,23,Female,yes
98.0,MNIST,Mnist_75,1,1,23,Female,yes
99.0,MNIST,Mnist_623,4,4,23,Female,yes
100.0,MNIST,Mnist_126,4,9,23,Female,yes
101.0,MNIST,Mnist_125,7,7,23,Female,yes
102.0,MNIST,Mnist_713,4,4,23,Female,yes
103.0,MNIST,less_Mnist_750,no illusion,no illusion,23,Female,yes
104.0,MNIST,Mnist_867,5,5,23,Female,yes
105.0,MNIST,Mnist_1017,2,2,23,Female,yes
106.0,MNIST,Mnist_394,1,1,23,Female,yes
107.0,MNIST,Mnist_324,3,3,23,Female,yes
108.0,MNIST,Mnist_122,4,4,23,Female,yes
109.0,MNIST,Mnist_342,6,6,23,Female,yes
110.0,MNIST,Mnist_480,9,9,23,Female,yes
111.0,MNIST,Mnist_376,5,5,23,Female,yes
112.0,MNIST,less_Mnist_621,no illusion,no illusion,23,Female,yes
113.0,MNIST,Mnist_896,0,0,23,Female,yes
114.0,MNIST,Mnist_729,2,2,23,Female,yes
115.0,MNIST,Mnist_773,1,1,23,Female,yes
116.0,MNIST,less_Mnist_963,no illusion,no illusion,23,Female,yes
117.0,MNIST,Mnist_614,2,2,23,Female,yes
118.0,MNIST,Mnist_231,3,3,23,Female,yes
119.0,MNIST,Mnist_890,1,1,23,Female,yes
120.0,MNIST,Mnist_393,6,6,23,Female,yes
121.0,IllusionChar,illusion_char_2137,oZl,oZl,23,Female,yes
122.0,IllusionChar,illusion_char_2316,no illusion,Hfqe,23,Female,yes
123.0,IllusionChar,illusion_char_365,cSo,cSo,23,Female,yes
124.0,IllusionChar,less_illusion_char_257,no illusion,no illusion,23,Female,yes
125.0,IllusionChar,illusion_char_2263,Sa6S5,Sa6S5,23,Female,yes
126.0,IllusionChar,illusion_char_2543,72b,72b,23,Female,yes
127.0,IllusionChar,less_illusion_char_2447,no illusion,no illusion,23,Female,yes
128.0,IllusionChar,illusion_char_2906,XZ01,5eZ0l,23,Female,no
129.0,IllusionChar,illusion_char_2958,x92,x92,23,Female,yes
130.0,IllusionChar,illusion_char_1457,LLIuI,LL4aI,23,Female,yes
131.0,IllusionChar,illusion_char_212,A51,jy5I,23,Female,no
132.0,IllusionChar,illusion_char_719,F7y,F7y,23,Female,yes
133.0,IllusionChar,less_illusion_char_797,no illusion,no illusion,23,Female,yes
134.0,IllusionChar,illusion_char_1797,boP,bcP,23,Female,yes
135.0,IllusionChar,less_illusion_char_2423,no illusion,no illusion,23,Female,yes
136.0,IllusionChar,illusion_char_341,VrVn,iVrVu,23,Female,yes
137.0,IllusionChar,illusion_char_2876,1O9G,JO9G,23,Female,yes
138.0,IllusionChar,illusion_char_1722,YQptp,YHptp,23,Female,yes
139.0,IllusionChar,illusion_char_1489,plmv,p1mv,23,Female,yes
140.0,IllusionChar,illusion_char_593,IcU,fcU,23,Female,no
141.0,IllusionChar,illusion_char_2658,PML,PMc,23,Female,yes
142.0,IllusionChar,illusion_char_410,uYL0,aYL0,23,Female,yes
143.0,IllusionChar,illusion_char_1935,c4l1,eZjt,23,Female,yes
144.0,IllusionChar,illusion_char_737,bmA,binA,23,Female,yes
145.0,IllusionChar,illusion_char_1448,nlB4Z,nlB4Z,23,Female,yes
146.0,IllusionChar,illusion_char_1274,VgA8V,VgA8V,23,Female,yes
147.0,IllusionChar,illusion_char_2576,Sh0u,Sh0u,23,Female,yes
148.0,IllusionChar,illusion_char_1269,no illusion,g04,23,Female,no
149.0,IllusionChar,illusion_char_322,Gb22H,Gb22H,23,Female,yes
150.0,IllusionChar,illusion_char_2050,DVdu,DVdu,23,Female,yes
151.0,IllusionChar,illusion_char_1035,EXT,EXT,23,Female,yes
152.0,IllusionChar,illusion_char_2076,S10,SI0,23,Female,yes
153.0,IllusionChar,illusion_char_2924,3nPX,2ttPX,23,Female,yes
154.0,IllusionChar,illusion_char_29,EHJSt,f3U8c,23,Female,no
155.0,IllusionChar,illusion_char_85,AYq,AYq,23,Female,yes
156.0,IllusionChar,illusion_char_216,CLX6,CfX6,23,Female,no
157.0,IllusionChar,illusion_char_1094,Gm3A,Gm3A,23,Female,yes
158.0,IllusionChar,illusion_char_230,X9NSN,X9NSN,23,Female,yes
159.0,IllusionChar,illusion_char_235,XC3Dn,XC3Dw,23,Female,yes
160.0,IllusionChar,illusion_char_2018,FUR,FUR,23,Female,yes
161.0,IllusionChar,illusion_char_528,BcUO,EeUQ,23,Female,yes
162.0,IllusionChar,illusion_char_950,H30c,H30z,23,Female,yes
163.0,IllusionChar,illusion_char_1330,7w9,7w9,23,Female,yes
164.0,IllusionChar,illusion_char_2019,9pW,9pW,23,Female,yes
,FashionMnist,FashionMnist_583,Sneaker,7,23,Female,yes
,FashionMnist,FashionMnist_1112,Dress,0,23,Female,no
,FashionMnist,FashionMnist_462,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_749,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_538,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_1056,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_88,Coat,2,23,Female,yes
,FashionMnist,FashionMnist_65,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_359,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_519,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_954,Bag,4,23,Female,no
,FashionMnist,FashionMnist_375,Dress,0,23,Female,yes
,FashionMnist,FashionMnist_776,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_688,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_509,Shirt,2,23,Female,yes
,FashionMnist,FashionMnist_674,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_214,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_68,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_419,Ankle boot,5,23,Female,no
,FashionMnist,FashionMnist_430,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_181,Dress,0,23,Female,yes
,FashionMnist,FashionMnist_140,Sneaker,5,23,Female,yes
,FashionMnist,FashionMnist_1104,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_30,Coat,3,23,Female,no
,FashionMnist,FashionMnist_476,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_667,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_1058,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_804,no illusion,3,23,Female,no
,FashionMnist,FashionMnist_132,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_335,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_441,T-shirt/top,0,23,Female,yes
,FashionMnist,FashionMnist_143,Dress,0,23,Female,yes
,FashionMnist,less_FashionMnist_279,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_632,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_952,T-shirt/top,0,23,Female,yes
,FashionMnist,FashionMnist_426,Coat,4,23,Female,yes
,FashionMnist,less_FashionMnist_617,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_947,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_373,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_275,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_909,T-shirt/top,0,23,Female,yes
,FashionMnist,FashionMnist_977,Pullover,2,23,Female,yes
,FashionMnist,FashionMnist_732,T-shirt/top,0,23,Female,yes
,FashionMnist,FashionMnist_739,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_274,Shirt,2,23,Female,yes
,FashionMnist,FashionMnist_933,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_722,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_726,Pullover,6,23,Female,yes
,FashionMnist,FashionMnist_384,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_834,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_455,Shirt,0,23,Female,no
,FashionMnist,FashionMnist_796,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_308,Ankle boot,9,23,Female,yes
,FashionMnist,less_FashionMnist_655,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_1039,T-shirt/top,0,23,Female,yes
,FashionMnist,FashionMnist_792,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_126,T-shirt/top,0,23,Female,yes
,FashionMnist,less_FashionMnist_1003,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_376,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_568,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_757,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_23,Sneaker,7,23,Female,yes
,FashionMnist,FashionMnist_740,no illusion,3,23,Female,yes
,FashionMnist,FashionMnist_485,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_442,Sneaker,9,23,Female,yes
,FashionMnist,FashionMnist_355,T-shirt/top,6,23,Female,no
,FashionMnist,FashionMnist_856,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_1036,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_44,Ankle boot,7,23,Female,yes
,FashionMnist,FashionMnist_967,T-shirt/top,6,23,Female,yes
,FashionMnist,FashionMnist_599,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_1002,Dress,3,23,Female,yes
,FashionMnist,FashionMnist_8,Coat,6,23,Female,yes
,FashionMnist,less_FashionMnist_1028,no illusion,no illusion,23,Female,yes
,FashionMnist,less_FashionMnist_492,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_57,Bag,8,23,Female,yes
,FashionMnist,less_FashionMnist_497,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_511,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_998,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_832,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_265,T-shirt/top,0,23,Female,yes
,FashionMnist,FashionMnist_636,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_790,Sneaker,7,23,Female,yes
,FashionMnist,FashionMnist_17,Shirt,2,23,Female,yes
,FashionMnist,FashionMnist_362,Pullover,2,23,Female,yes
,FashionMnist,FashionMnist_589,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_768,Coat,6,23,Female,yes
,FashionMnist,FashionMnist_894,Pullover,2,23,Female,yes
,FashionMnist,less_FashionMnist_620,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_1101,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_602,Ankle boot,9,23,Female,yes
,FashionMnist,less_FashionMnist_946,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_655,no illusion,5,23,Female,no
,FashionMnist,FashionMnist_936,Pullover,4,23,Female,yes
,FashionMnist,FashionMnist_468,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_342,Dress,0,23,Female,yes
,FashionMnist,FashionMnist_1018,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_508,Pullover,2,23,Female,yes
,FashionMnist,FashionMnist_1132,Coat,6,23,Female,yes
,FashionMnist,FashionMnist_226,Sneaker,7,23,Female,yes
,FashionMnist,FashionMnist_70,Bag,8,23,Female,yes
,FashionMnist,FashionMnist_350,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_488,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_28,no illusion,0,23,Female,no
,FashionMnist,FashionMnist_685,T-shirt/top,6,23,Female,no
,FashionMnist,FashionMnist_978,T-shirt/top,6,23,Female,no
,FashionMnist,FashionMnist_61,Sneaker,7,23,Female,yes
,FashionMnist,less_FashionMnist_989,no illusion,no illusion,23,Female,yes
,FashionMnist,FashionMnist_75,Coat,2,23,Female,no
,FashionMnist,FashionMnist_12,Sandal,5,23,Female,yes
,FashionMnist,FashionMnist_686,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_379,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_743,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_881,Sneaker,7,23,Female,yes
,FashionMnist,FashionMnist_964,Pullover,6,23,Female,yes
,FashionMnist,less_FashionMnist_148,Bag,no illusion,23,Female,yes
,FashionMnist,FashionMnist_684,Ankle boot,9,23,Female,yes
,FashionMnist,FashionMnist_1119,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_484,Sneaker,7,23,Female,yes
,FashionMnist,FashionMnist_81,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_874,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_1087,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_180,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_1147,Coat,4,23,Female,yes
,FashionMnist,FashionMnist_875,Trouser,1,23,Female,yes
,FashionMnist,FashionMnist_158,Sneaker,7,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_165,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_563,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_224,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_585,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_306,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_635,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_979,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_810,Fish,fish,23,Female,yes
,IllusionAnimals,IllusionAnimals_545,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_404,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_540,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_629,Deer,deer,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_179,no illusion,no illusion,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_137,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_957,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_660,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_941,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_46,Cat,cat,23,Female,yes
,IllusionAnimals,IllusionAnimals_936,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_884,no illusion,fish,23,Female,no
,IllusionAnimals,IllusionAnimals_375,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_393,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_319,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_730,Snake,snake,23,Female,yes
,IllusionAnimals,IllusionAnimals_249,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_2,Cat,cat,23,Female,yes
,IllusionAnimals,IllusionAnimals_174,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_388,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_355,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_570,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_443,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_873,Fish,fish,23,Female,yes
,IllusionAnimals,IllusionAnimals_532,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_605,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_935,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_476,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_23,Cat,cat,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_563,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_650,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_376,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_278,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_122,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_891,Fish,fish,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_468,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_272,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_526,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_305,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_419,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_644,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_28,Cat,cat,23,Female,yes
,IllusionAnimals,IllusionAnimals_132,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_942,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_760,Snake,snake,23,Female,yes
,IllusionAnimals,IllusionAnimals_956,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_446,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_450,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_330,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_983,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_519,Snake,horse,23,Female,no
,IllusionAnimals,IllusionAnimals_806,Fish,fish,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_423,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_231,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_977,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_815,Fish,fish,23,Female,yes
,IllusionAnimals,IllusionAnimals_326,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_530,Horse,horse,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_678,no illusion,no illusion,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_447,no illusion,no illusion,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_495,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_182,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_219,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_140,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_773,Snake,snake,23,Female,yes
,IllusionAnimals,IllusionAnimals_923,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_862,Fish,fish,23,Female,yes
,IllusionAnimals,IllusionAnimals_438,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_580,Horse,horse,23,Female,yes
,IllusionAnimals,IllusionAnimals_937,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_192,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_764,Snake,snake,23,Female,yes
,IllusionAnimals,IllusionAnimals_382,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_139,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_17,Cat,cat,23,Female,yes
,IllusionAnimals,IllusionAnimals_945,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_416,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_299,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_626,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_65,Cat,cat,23,Female,yes
,IllusionAnimals,IllusionAnimals_954,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_449,Rooster,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_483,Rooster,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_611,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_989,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_701,Snake,snake,23,Female,yes
,IllusionAnimals,IllusionAnimals_288,Pigeon,pigeon,23,Female,yes
,IllusionAnimals,IllusionAnimals_420,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_846,Fish,fish,23,Female,yes
,IllusionAnimals,IllusionAnimals_335,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_350,Butterfly,butterfly,23,Female,yes
,IllusionAnimals,IllusionAnimals_842,Fish,fish,23,Female,yes
,IllusionAnimals,IllusionAnimals_194,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_12,Cat,cat,23,Female,yes
,IllusionAnimals,IllusionAnimals_905,Rooster,rooster,23,Female,yes
,IllusionAnimals,IllusionAnimals_180,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_439,Elephant,elephant,23,Female,yes
,IllusionAnimals,IllusionAnimals_172,Dog,dog,23,Female,yes
,IllusionAnimals,IllusionAnimals_664,Deer,deer,23,Female,yes
,IllusionAnimals,IllusionAnimals_418,Elephant,elephant,23,Female,yes
,IllusionAnimals,less_IllusionAnimals_78,no illusion,no illusion,23,Female,yes
,IllusionAnimals,IllusionAnimals_121,Dog,dog,23,Female,yes
,IllusionChar,illusion_char_2699,XgkX,XgkX,23,Female,yes
,IllusionChar,illusion_char_174,DiYl,DiYt,23,Female,yes
,IllusionChar,illusion_char_1572,fqR,fqR,23,Female,yes
,IllusionChar,illusion_char_1093,GoPsz,GoPsz,23,Female,yes
,IllusionChar,less_illusion_char_965,no illusion,no illusion,23,Female,yes
,IllusionChar,illusion_char_705,2qmYa,2qmYa,23,Female,yes
,IllusionChar,illusion_char_871,5wla,5w1a,23,Female,yes
,IllusionChar,illusion_char_2159,SHAY,5HAY,23,Female,yes
,IllusionChar,less_illusion_char_1358,no illusion,no illusion,23,Female,yes
,IllusionChar,illusion_char_2773,HDms,HDm8,23,Female,yes
,IllusionChar,illusion_char_1215,A0zq,A0zq,23,Female,yes
,IllusionChar,illusion_char_2265,SDy,SDy,23,Female,yes
,IllusionChar,illusion_char_1528,Q10ha,QI0ha,23,Female,yes
,IllusionChar,illusion_char_1409,DVDA,DVDA,23,Female,yes
,IllusionChar,illusion_char_1659,no illusion,nT4,23,Female,no
