image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_FashionMnist_ill_images,LLaVa_FashionMnist_illusion_images_filtered,LLaVa_FashionMnist_illusionless_images,LLaVa_FashionMnist_illusionless_images_filtered,LLaVa_FashionMnist_raw_images
FashionMnist_29,A spaceship hovering over a futuristic city,low quality,1.5,9, Coat, Sneaker, Coat, T-shirt/top, Sneaker
FashionMnist_30,A serene waterfall hidden deep in a dense forest,low quality,1.5,3, Sandal, Coat, Dress, No illusion, Coat
FashionMnist_31,A sunset over a vast desert with sand dunes and a lone camel,low quality,1.5,8, Sandal, Bag, Sandal, Ankle boot, Bag
FashionMnist_32,A dramatic thunderstorm with lightning striking in the distance,low quality,1.5,8, Pullover, Pullover, Pullover, Ankle boot, T-shirt/top
FashionMnist_33,"Silent mountains embrace turquoise lake, sunlight paints ripples",low quality,1.5,3, Coat, T-shirt/top, No illusion, Ankle boot, Shirt
FashionMnist_34,A secret garden hidden behind a hidden door in a wall,low quality,1.5,3, Bag, T-shirt/top, Bag, Bag, T-shirt/top
FashionMnist_35,Serene Japanese garden with cherry blossoms and koi pond,low quality,1.5,8, Bag, Trouser, Pullover, No illusion, Trouser
FashionMnist_36,"Cyber vines crawl through metal trees, reflections shimmer on artificial seas, birds cast neon hues",low quality,1.5,0, Sandal, T-shirt/top, Dress, Ankle boot, T-shirt/top
FashionMnist_37,A medieval castle perched on a cliff overlooking the ocean,low quality,1.5,7, No illusion, Sneaker, No illusion, Ankle boot, Sandal
FashionMnist_38,A jungle with mountains and river,low quality,1.5,5, Sandal, Ankle boot, Bag, Ankle boot, Shirt
FashionMnist_39,A vast expanse of desert dunes at sunset,low quality,1.5,7, Sandal, Sneaker, Sandal, Ankle boot, Sneaker
FashionMnist_40,A majestic sunset over a tranquil forest,low quality,1.5,9, No illusion, Sneaker, No illusion, Ankle boot, Sneaker
FashionMnist_41,A mystical desert oasis with palm trees and cool water,low quality,1.5,6, Sandal, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_42,"Starry sea reflects on metallic waves, futuristic city emerging from the depths",low quality,1.5,1, Coat, Trouser, Dress, No illusion, Trouser
FashionMnist_43,A busy marketplace filled with colorful stalls,low quality,1.5,3, Bag, Trouser, Sneaker, Ankle boot, T-shirt/top
FashionMnist_44,Quaint cobblestone alleyway in old European town,low quality,1.5,7, Bag, Ankle boot, Bag, Bag, Sneaker
FashionMnist_45,A colorful sunset over a calm sea,low quality,1.5,6, Shirt, No illusion, No illusion, Ankle boot, Coat
FashionMnist_46,"Frozen lake frozen over, snow-covered mountains reflected in the surface",low quality,1.5,7, Coat, Coat, Coat, Ankle boot, Sneaker
FashionMnist_47,A majestic iceberg floating in a frigid arctic sea,low quality,1.5,2, Coat, No illusion, Coat, Coat, T-shirt/top
FashionMnist_48,"Serene underwater city bathed in bioluminescent light, creatures floating gracefully",low quality,1.5,1, Ankle boot, Trouser, Sandal, Ankle boot, Trouser
FashionMnist_49,An ancient temple hidden in the depths of a jungle,low quality,1.5,2, Dress, Trouser, Bag, Ankle boot, T-shirt/top
FashionMnist_50,"A majestic sunrise illuminates the mountains, casting long shadows over valleys below",low quality,1.5,2, Shirt, T-shirt/top, T-shirt/top, T-shirt/top, T-shirt/top
FashionMnist_51,A whimsical carnival with colorful tents and a merry-go-round,low quality,1.5,4, Dress, Pullover, Dress, Dress, T-shirt/top
FashionMnist_52,"A thunderstorm over a dark, brooding sea",low quality,1.5,4, Sandal, No illusion, Coat, Ankle boot, T-shirt/top
FashionMnist_53,Sandy shore strewn with driftwood,low quality,1.5,5, Sandal, Ankle boot, Sandal, Ankle boot, Sneaker
FashionMnist_54,A grand castle perched atop a hill overlooking a medieval town,low quality,1.5,8, Trouser, Trouser, No illusion, Trouser, T-shirt/top
FashionMnist_55,A winter solstice bonfire warming hearts,low quality,1.5,2, No illusion, No illusion, Coat, Ankle boot, T-shirt/top
FashionMnist_56,A bear fishing in a river at sunset,low quality,1.5,2, Sandal, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_57,Glittering icicles hanging precariously off ledge,low quality,1.5,8, No illusion, Bag, Sneaker, Trouser, Bag
FashionMnist_58,"A lone astronaut floats through space, constellations forming a majestic path",low quality,1.5,4, Pullover, T-shirt/top, Pullover, Pullover, T-shirt/top
FashionMnist_59,Swirling vortex of light and shadows over a deserted city,low quality,1.5,8, Bag, Ankle boot, No illusion, No illusion, Bag
FashionMnist_60,"Glowing sandstone cliffs illuminate desert canyon, shimmering sand dunes reflecting light",low quality,1.5,0, No illusion, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_61,African wild dog hunting impala,low quality,1.5,7, Sneaker, Sneaker, Ankle boot, Ankle boot, Sneaker
FashionMnist_62,A neon cyberpunk street at night,low quality,1.5,7, Sneaker, Ankle boot, Sneaker, Ankle boot, Sneaker
FashionMnist_63,A colorful hot air balloon floating over a patchwork landscape,low quality,1.5,8, Bag, Ankle boot, Dress, Pullover, T-shirt/top
FashionMnist_64,Tranquil mountains overlooking a lush jungle and flowing river,low quality,1.5,5, No illusion, Ankle boot, Sandal, No illusion, Shirt
FashionMnist_65,Two kids playing in a park,low quality,1.5,1, Trouser, Trouser, Trouser, Trouser, Trouser
FashionMnist_66,A forest with tall trees and a flowing river,low quality,1.5,1, Sneaker, No illusion, No illusion, Ankle boot, T-shirt/top
FashionMnist_67,"Dense forest canopy, sunlight filters through, river winds through valleys",low quality,1.5,2, Sandal, Trouser, T-shirt/top, No illusion, T-shirt/top
FashionMnist_68,A vast green meadowland with a cottage in the distance,low quality,1.5,3, No illusion, T-shirt/top, Bag, Coat, Dress
FashionMnist_69,"Neon reflections on wet streets in a futuristic city, towering structures reaching for the clouds",low quality,1.5,9, Coat, Sneaker, No illusion, No illusion, Sneaker
FashionMnist_70,Galaxy with supernova explosion,low quality,1.5,8, Bag, Bag, No illusion, No illusion, Bag
FashionMnist_71,A peaceful lake surrounded by snow capped mountains,low quality,1.5,7, Coat, Sneaker, Coat, Ankle boot, Sneaker
FashionMnist_72,"Sunbeams peek through canopy leaves, river whispers secrets in the wind, birds dance in harmonious circles",low quality,1.5,0, Bag, T-shirt/top, Bag, No illusion, T-shirt/top
FashionMnist_73,A charming cottage covered in ivy with a thatched roof,low quality,1.5,2, T-shirt/top, Trouser, Bag, Ankle boot, T-shirt/top
FashionMnist_74,"Foggy lake, ancient trees reach limbs, morning sun paints ripples",low quality,1.5,6, Bag, Trouser, Sandal, Ankle boot, Bag
FashionMnist_75,Glowing fungi illuminate a decaying castle under a moonlit forest,low quality,1.5,2, Dress, Pullover, Coat, No illusion, Pullover
FashionMnist_76,A majestic bald eagle soaring overhead,low quality,1.5,3, Pullover, Pullover, Coat, Ankle boot, Dress
FashionMnist_77,A serene temple nestled in the heart of a tranquil garden,low quality,1.5,1, Pullover, Trouser, Dress, Ankle boot, Trouser
FashionMnist_78,"Sun-drenched meadow meets winding waterfall, cradled by rolling hills",low quality,1.5,2, Sandal, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_79,Ocean wave curling gracefully onto beach,low quality,1.5,8, Sandal, Ankle boot, Sandal, Ankle boot, Bag
FashionMnist_80,A Memorial Day barbecue sharing good food,low quality,1.5,4, T-shirt/top, Pullover, Dress, No illusion, Pullover
FashionMnist_81,A neon cyberpunk street at night,low quality,1.5,1, Sneaker, Ankle boot, Sneaker, Ankle boot, Trouser
FashionMnist_82,"Eerie silence surrounds snowy mountains, glowing moon casts long shadows",low quality,1.5,8, Coat, Bag, Pullover, Coat, Bag
FashionMnist_83,Puffin taking flight from coastal cliffs,low quality,1.5,5, Sandal, No illusion, Pullover, Pullover, Sandal
FashionMnist_84,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,1.5,9, Bag, Ankle boot, Bag, No illusion, Ankle boot
FashionMnist_85,"A majestic sunrise illuminates the mountains, casting long shadows over valleys below",low quality,1.5,5, T-shirt/top, Ankle boot, Sandal, No illusion, Sneaker
FashionMnist_86,A quaint village nestled in a lush valley surrounded by mountains,low quality,1.5,0, T-shirt/top, T-shirt/top, Bag, Trouser, T-shirt/top
FashionMnist_87,A picturesque vineyard at sunset with the sky painted in hues,low quality,1.5,3, Shirt, Dress, No illusion, Ankle boot, Dress
FashionMnist_88,"Eerie silence hangs over abandoned factory, moonlight bathes ghostly figures",low quality,1.5,2, Sandal, Pullover, Dress, Coat, T-shirt/top
FashionMnist_89,A majestic waterfall plunging into a misty abyss,low quality,1.5,0, Dress, T-shirt/top, Pullover, Pullover, T-shirt/top
FashionMnist_90,A cozy cafe on a rainy day,low quality,1.5,6, Bag, Trouser, Coat, Bag, T-shirt/top
FashionMnist_91,A magnificent sunset over the ocean with sailboats,low quality,1.5,5, Pullover, Coat, Coat, Sneaker, T-shirt/top
FashionMnist_92,A sunset over a golden wheat field,low quality,1.5,3, Sandal, T-shirt/top, Ankle boot, No illusion, T-shirt/top
FashionMnist_93,A medieval castle standing proudly atop a hill,low quality,1.5,6, Trouser, Trouser, Coat, T-shirt/top, T-shirt/top
FashionMnist_94,A secluded cabin nestled in a snowy forest,low quality,1.5,7, Coat, Coat, Coat, Coat, Sneaker
FashionMnist_95,A futuristic city with flying cars and skyscrapers,low quality,1.5,1, Sneaker, Trouser, Sneaker, Ankle boot, Trouser
FashionMnist_96,A lush green forest with sunlight shining through the canopy,low quality,1.5,8, T-shirt/top, Bag, No illusion, Ankle boot, T-shirt/top
FashionMnist_97,"Dense forest meets mountain peaks, sunlight filters through leaves in spiral patterns, birds call to each other",low quality,1.5,0, T-shirt/top, T-shirt/top, Bag, No illusion, T-shirt/top
FashionMnist_98,A desert with a lake in the middle,low quality,1.5,1, Trouser, Trouser, Sandal, No illusion, Trouser
FashionMnist_99,"Neon river flowing through a futuristic city, reflecting towering structures",low quality,1.5,4, Sneaker, No illusion, No illusion, Coat, Coat
FashionMnist_100,A serene meditation session in calming woods,low quality,1.5,2, T-shirt/top, Trouser, Dress, No illusion, T-shirt/top
FashionMnist_101,A mystical floating island in a sea of clouds,low quality,1.5,3, Bag, T-shirt/top, No illusion, No illusion, Shirt
FashionMnist_102,A captivating circus performance beneath big top tent,low quality,1.5,6, Dress, Coat, Coat, Trouser, T-shirt/top
FashionMnist_103,A serene lake reflecting the fiery colors of a setting sun,low quality,1.5,7, No illusion, Ankle boot, No illusion, Ankle boot, Sneaker
FashionMnist_104,A Guru Nanak Jayanti langar serving equality,low quality,1.5,2, Coat, Coat, No illusion, Pullover, Sandal
FashionMnist_105,A magical unicorn grazing in a lush meadow,low quality,1.5,7, T-shirt/top, Sneaker, Bag, Ankle boot, Sneaker
FashionMnist_106,A beach with palm trees and a sunset,low quality,1.5,8, Sandal, Ankle boot, Sandal, Ankle boot, Shirt
FashionMnist_107,A lush garden overflowing with blooming roses,low quality,1.5,5, No illusion, No illusion, Dress, No illusion, T-shirt/top
FashionMnist_108,"Windswept dunes meeting turquoise sea, rolling waves foam and crest",low quality,1.5,9, Sandal, Coat, Sandal, Ankle boot, Sneaker
FashionMnist_109,Cheetah sprinting swiftly,low quality,1.5,9, Sneaker, Sneaker, Sneaker, Sneaker, Ankle boot
FashionMnist_110,A foggy forest with tall trees and a winding path,low quality,1.5,4, Sneaker, Coat, No illusion, No illusion, Pullover
FashionMnist_111,"Golden light meets mountain frame, river meets ocean flame, birds sing in joyful game",low quality,1.5,2, No illusion, Ankle boot, Sandal, Ankle boot, T-shirt/top
FashionMnist_112,A forest with tall trees and a flowing river,low quality,1.5,5, No illusion, Ankle boot, Sneaker, Trouser, T-shirt/top
FashionMnist_113,A hidden waterfall cascading into a crystal-clear pool,low quality,1.5,7, Bag, Sneaker, Bag, Ankle boot, Sneaker
FashionMnist_114,Night sky filled with bright stars,low quality,1.5,0, T-shirt/top, T-shirt/top, Sandal, T-shirt/top, T-shirt/top
FashionMnist_115,A serene temple nestled in the heart of a tranquil garden,low quality,1.5,5, Dress, Ankle boot, Pullover, Ankle boot, Shirt
FashionMnist_116,A serene beach with a colorful sunset,low quality,1.5,2, Sandal, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_117,A relaxing hot spring surrounded by nature,low quality,1.5,8, Bag, Bag, Bag, Ankle boot, Shirt
FashionMnist_118,Cozy cabin nestled among snow-covered pine trees,low quality,1.5,6, Coat, Coat, Coat, Coat, Pullover
FashionMnist_119,A tranquil pond with lily pads and colorful koi fish,low quality,1.5,7, Sneaker, No illusion, Bag, Pullover, Sneaker
FashionMnist_120,"Ancient cave entrance, stalactites glow, sunlight filters through dusty air",low quality,1.5,8, No illusion, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_121,A forest with tall trees and dense undergrowth,low quality,1.5,0, No illusion, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_122,Windswept dunes meet turquoise waves at sunset,low quality,1.5,0, Bag, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_123,"A vibrant forest glows with bioluminescent light, revealing glowing mushrooms and paths",low quality,1.5,9, Pullover, Sneaker, Dress, No illusion, Sneaker
FashionMnist_124,A serene meadow with colorful wildflowers,low quality,1.5,9, T-shirt/top, Ankle boot, Dress, No illusion, Sneaker
FashionMnist_125,A whimsical garden filled with oversized flowers,low quality,1.5,3, T-shirt/top, T-shirt/top, Dress, Trouser, T-shirt/top
FashionMnist_126,"Golden meadow meets waterfall cascade, mountain silhouette looms",low quality,1.5,0, Bag, T-shirt/top, T-shirt/top, Dress, T-shirt/top
FashionMnist_127,A bustling marketplace filled with colorful fruits and spices,low quality,1.5,8, Shirt, Bag, Bag, Coat, T-shirt/top
FashionMnist_128,A lush meadow beneath a bright blue summer sky,low quality,1.5,4, T-shirt/top, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_129,Enchanted forest with mythical creatures,low quality,1.5,1, T-shirt/top, Trouser, Bag, No illusion, Trouser
FashionMnist_130,Serene forest with sparkling river and majestic mountains,low quality,1.5,5, No illusion, Ankle boot, Coat, Ankle boot, Sandal
FashionMnist_131,Tranquil meadow with wildflowers and distant hills,low quality,1.5,4, T-shirt/top, Coat, No illusion, Ankle boot, T-shirt/top
FashionMnist_132,A starry night sky with a rocket ship blasting off towards a distant planet,low quality,1.5,1, Pullover, No illusion, Sneaker, No illusion, T-shirt/top
FashionMnist_133,A charming cottage covered in ivy,low quality,1.5,9, Trouser, Ankle boot, Bag, Trouser, Ankle boot
FashionMnist_134,Frosted autumn leaf on fire-weed plant,low quality,1.5,1, Dress, Trouser, Pullover, Ankle boot, Trouser
FashionMnist_135,"Whipped cream dream swirls around ballerina, city lights twinkle like stars",low quality,1.5,8, T-shirt/top, Trouser, Dress, Dress, Shirt
FashionMnist_136,"Gentle waves lap against sandy beach, distant storm glows clouds over mountains",low quality,1.5,6, Sandal, Pullover, Sandal, Ankle boot, T-shirt/top
FashionMnist_137,A winding river snaking through a lush green landscape,low quality,1.5,2, T-shirt/top, T-shirt/top, Sneaker, Ankle boot, T-shirt/top
FashionMnist_138,"Mountain lake reflects snow-capped peaks, wildflowers dance on surface",low quality,1.5,1, No illusion, Trouser, Dress, No illusion, Trouser
FashionMnist_139,Lion pride resting under acacia tree,low quality,1.5,2, Sandal, Trouser, Sandal, No illusion, T-shirt/top
FashionMnist_140,A cozy living room with a fireplace and Christmas tree,low quality,1.5,5, Coat, Coat, Coat, Coat, Shirt
FashionMnist_141,A festive holiday parade down Main Street,low quality,1.5,1, Coat, Trouser, Coat, Coat, Trouser
FashionMnist_142,A spaceship descends towards a lush jungle planet,low quality,1.5,0, Dress, T-shirt/top, Coat, Ankle boot, Dress
FashionMnist_143,A lighthouse amidst a green landscape with the sea behind,low quality,1.5,0, Coat, T-shirt/top, Sandal, No illusion, T-shirt/top
FashionMnist_144,A colorful sunset over a calm beautiful lake,low quality,1.5,0, Sandal, T-shirt/top, No illusion, Ankle boot, T-shirt/top
FashionMnist_145,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,1.5,1, Pullover, Trouser, Bag, Bag, T-shirt/top
FashionMnist_146,Vibrant city at night with neon lights,low quality,1.5,6, T-shirt/top, T-shirt/top, No illusion, Sneaker, T-shirt/top
FashionMnist_147,"A foggy forest with twisting, moss-covered trees",low quality,1.5,1, Ankle boot, Pullover, No illusion, Ankle boot, Trouser
FashionMnist_148,A majestic iceberg floating in a frigid arctic sea,low quality,1.5,6, Coat, No illusion, Coat, Ankle boot, T-shirt/top
FashionMnist_149,A magical fairytale forest filled with unicorns,low quality,1.5,2, Dress, Pullover, Dress, No illusion, T-shirt/top
FashionMnist_150,Tranquil forest clearing with sunlight streaming through canopy,low quality,1.5,2, Dress, No illusion, No illusion, Ankle boot, T-shirt/top
FashionMnist_151,A field of sunflowers stretching as far as the eye can see,low quality,1.5,4, Shirt, Trouser, Shirt, Ankle boot, T-shirt/top
FashionMnist_152,Peacocks strutting proudly,low quality,1.5,4, Pullover, Coat, Coat, Trouser, Bag
FashionMnist_153,A steamy jungle with lush foliage and exotic wildlife,low quality,1.5,1, Dress, Trouser, Bag, Ankle boot, Trouser
FashionMnist_154,"Gentle waves lap sandy shores, towering waves crash against ancient cliffs",low quality,1.5,4, Sandal, Coat, Sandal, Ankle boot, Coat
FashionMnist_155,A fiery sunset over a tranquil lake,low quality,1.5,5, No illusion, Ankle boot, Sandal, Ankle boot, Shirt
FashionMnist_156,A tranquil Zen garden with raked sand and stone sculptures,low quality,1.5,0, Bag, T-shirt/top, Sandal, Trouser, T-shirt/top
FashionMnist_157,Tranquil pond in the forest surrounded by trees,low quality,1.5,4, T-shirt/top, Coat, Sandal, Ankle boot, Coat
FashionMnist_158,A bustling night market fills the air with vibrant lights and whispering conversations,low quality,1.5,7, Bag, Sneaker, Sneaker, Trouser, Sneaker
FashionMnist_159,A man holding a dog on a winter night,low quality,1.5,9, Pullover, Ankle boot, Pullover, Coat, Ankle boot
FashionMnist_160,A haunted mansion shrouded in ghostly mist,low quality,1.5,3, T-shirt/top, T-shirt/top, Coat, Coat, Dress
FashionMnist_161,A creepy abandoned asylum with boarded up windows and rusted gates,low quality,1.5,7, Sneaker, Sneaker, Coat, No illusion, Sneaker
FashionMnist_162,"Golden light meets mountain frame, river meets ocean flame, birds sing in joyful game",low quality,1.5,2, No illusion, Pullover, Dress, Ankle boot, T-shirt/top
FashionMnist_163,A lonely house on the moonlit hill,low quality,1.5,3, Trouser, Dress, Bag, Bag, Dress
FashionMnist_164,A glowing meadow with floating rocks and a waterfall,low quality,1.5,9, Sandal, Ankle boot, Bag, No illusion, T-shirt/top
FashionMnist_165,A spooky graveyard with ancient headstones and gnarled trees,low quality,1.5,0, Bag, Trouser, Trouser, Ankle boot, T-shirt/top
FashionMnist_166,"A cascading waterfall illuminates the canyon with glowing light, shadow dancing over rocks",low quality,1.5,9, Sandal, Sneaker, Sandal, Ankle boot, Ankle boot
FashionMnist_167,Majestic castle standing proudly on cliffside,low quality,1.5,4, Trouser, Trouser, No illusion, No illusion, T-shirt/top
FashionMnist_168,A bear fishing in a river at sunset,low quality,1.5,7, Bag, Sneaker, No illusion, Ankle boot, Sneaker
FashionMnist_169,"Neon lights illuminate futuristic robots, reflection shimmering on crystalline lake",low quality,1.5,4, Coat, Pullover, Sneaker, Sneaker, Pullover
FashionMnist_170,"Gentle waves lap sandy shores, towering waves crash against ancient cliffs",low quality,1.5,2, Sandal, Trouser, Sandal, Ankle boot, T-shirt/top
FashionMnist_171,City in the middle of a desert,low quality,1.5,0, Sandal, T-shirt/top, Sandal, Trouser, T-shirt/top
FashionMnist_172,Panther (Leopard) moving sinuously through rainforest undergrowth,low quality,1.5,5, Ankle boot, Ankle boot, Ankle boot, Ankle boot, T-shirt/top
FashionMnist_173,Lightning striking during stormy weather,low quality,1.5,2, Pullover, Pullover, Pullover, Sneaker, T-shirt/top
FashionMnist_174,A sunflower maze stretching as far as the eye can see,low quality,1.5,1, Shirt, T-shirt/top, Shirt, Trouser, T-shirt/top
FashionMnist_175,"Glowing fungi illuminate cavern entrance, vines draped like curtains inside",low quality,1.5,2, T-shirt/top, T-shirt/top, Bag, Ankle boot, T-shirt/top
FashionMnist_176,"Neon glow illuminates futuristic robot, star spackling behind glowing eyes",low quality,1.5,1, Trouser, Trouser, T-shirt/top, T-shirt/top, Trouser
FashionMnist_177,A cozy cabin nestled in a snowy forest,low quality,1.5,3, Coat, Ankle boot, Pullover, Coat, Dress
FashionMnist_178,A colossal city covered in smog,low quality,1.5,0, T-shirt/top, T-shirt/top, Coat, Trouser, T-shirt/top
FashionMnist_179,A misty forest filled with towering redwoods,low quality,1.5,9, T-shirt/top, Ankle boot, No illusion, Trouser, Ankle boot
FashionMnist_180,A busy marketplace filled with colorful stalls,low quality,1.5,1, Bag, Trouser, Sneaker, Ankle boot, Trouser
FashionMnist_181,Sun-drenched wasteland with shattered robots and crumbling structures,low quality,1.5,0, No illusion, T-shirt/top, No illusion, Coat, T-shirt/top
FashionMnist_182,"Eerie desert town, skeletal structures cast long shadows under storm clouds",low quality,1.5,9, Ankle boot, Ankle boot, Ankle boot, Ankle boot, Sneaker
FashionMnist_183,"An ancient temple overgrown with vines, sunlight filtering through crumbled stones",low quality,1.5,3, Dress, Dress, Dress, Ankle boot, Dress
FashionMnist_184,A quaint village nestled amidst rolling hills,low quality,1.5,6, Trouser, T-shirt/top, T-shirt/top, T-shirt/top, T-shirt/top
FashionMnist_185,A bustling harbor filled with fishing boats and seagulls,low quality,1.5,7, Sneaker, Sneaker, Coat, Coat, Sneaker
FashionMnist_186,A sunset over a vast desert with sand dunes and a lone camel,low quality,1.5,9, Sandal, Sneaker, Sandal, Sandal, Ankle boot
FashionMnist_187,"Eerie silence fills the ancient temple grounds, moonlight illuminating dusty statues",low quality,1.5,9, Ankle boot, Sneaker, Bag, Ankle boot, Sneaker
FashionMnist_188,"Vibrant coral reef teems with life, schools of fish dance through colorful formations",low quality,1.5,4, T-shirt/top, Trouser, Shirt, No illusion, Pullover
FashionMnist_189,A quiet church nestled in a sunlit meadow,low quality,1.5,4, Ankle boot, Trouser, No illusion, Ankle boot, Pullover
FashionMnist_190,A vast blue ocean containing small islands with palm trees,low quality,1.5,7, Sandal, Sneaker, Sandal, Ankle boot, Sneaker
FashionMnist_191,Mystical forest with glowing mushroom trees,low quality,1.5,1, Bag, Trouser, Bag, Ankle boot, Trouser
FashionMnist_192,"Golden sunrise paints horizon, vast desert landscape, dunes shift in the gentle breeze",low quality,1.5,2, Sandal, T-shirt/top, Sandal, Ankle boot, T-shirt/top
FashionMnist_193,A sunset over water with a pier in the foreground,low quality,1.5,1, Trouser, T-shirt/top, Pullover, Ankle boot, T-shirt/top
FashionMnist_194,A bustling marketplace with colorful stalls and vibrant street food vendors,low quality,1.5,6, Bag, T-shirt/top, Shirt, Trouser, T-shirt/top
FashionMnist_195,A peaceful garden with blooming cherry blossom trees,low quality,1.5,3, Pullover, Pullover, Dress, Ankle boot, Ankle boot
FashionMnist_196,A forest with blooming flowers,low quality,1.5,2, T-shirt/top, T-shirt/top, Dress, No illusion, Pullover
FashionMnist_197,Beautiful butterfly alighting on delicate flower petals,low quality,1.5,8, Dress, T-shirt/top, Dress, Dress, Shirt
FashionMnist_198,Tranquil beach with clear water and white sand,low quality,1.5,3, Sandal, T-shirt/top, Sandal, Sandal, Trouser
FashionMnist_199,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,6, T-shirt/top, Ankle boot, T-shirt/top, No illusion, T-shirt/top
