image_name,Pprompt,Nprompt,illusion_strength,label,raw_answer,ill_answer,illless_answer,ill_fliter_answer,illless_filter_answer
Mnist_70,A bustling city street with neon lights and busy shops.,low quality,1.5,0,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_71,A bustling harbor with ships coming and going.,low quality,1.5,7,"The image shows a digit 0, a digit 1 and a digit 2.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_72,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,0,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_73,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,2,The image shows a digit 0.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_74,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,9,The digit 9,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_75,A serene waterfall hidden deep in a dense forest.,low quality,1.5,1,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_76,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,7,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_77,A majestic waterfall plunging into a misty abyss,low quality,1.5,3,The number is 'digits'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_78,A lush vineyard stretching over rolling hills.,low quality,1.5,2,The image shows a digit 0.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_79,A misty forest clearing with sunlight filtering through the canopy.,low quality,1.5,9,The image shows a black background with a white digit '0' and a white '1'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_80,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,7,The digit 7,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_81,A mystical forest enchanted by swirling mist,low quality,1.5,7,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_82,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,6,The image is a black and white picture of a spiral.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_83,A majestic aurora borealis dancing across the night sky,low quality,1.5,2,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_84,A field of sunflowers stretching as far as the eye can see.,low quality,1.5,7,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_85,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,8,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_86,"A foggy forest with twisting, moss-covered trees",low quality,1.5,4,The letter 'H','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_87,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,7,The digit 7,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_88,A rocky desert landscape with cacti and tumbleweeds,low quality,1.5,3,The image shows a black and white image of a number 3.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_89,A lunar landscape with barren craters and mountains silhouetted against the sky.,low quality,1.5,6,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_90,A sunflower maze stretching as far as the eye can see.,low quality,1.5,1,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_91,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,3,The class is 'digits'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_92,A moonlit beach with gentle waves lapping at the shore,low quality,1.5,6,The digit is a number,digit 0,digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_93,A charming cottage covered in ivy with a thatched roof.,low quality,1.5,9,"The image shows a group of numbers, which are all connected to each other.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_94,A starlit sky above a tranquil lake reflecting the moon,low quality,1.5,3,The image shows a black background with a white number 3.,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_95,A tranquil lake surrounded by towering trees,low quality,1.5,1,The image shows a black background with a white outline of the state of Delaware.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_96,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,4,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_97,A starry night sky with the Milky Way stretching across.,low quality,1.5,1,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_98,A picturesque seaside village with colorful fishing boats,low quality,1.5,7,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_99,A bustling city skyline at night with neon lights,low quality,1.5,6,The letter 'C','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_100,A starry night sky with the Milky Way stretching across.,low quality,1.5,9,The image shows a black background with a white outline of a brain.,'No Hidden Digit','No Hidden Digit','No Hidden Digit',digit 0
Mnist_101,A field of daisies with a rainbow in the background.,low quality,1.5,6,The image is a black and white image of a spiral.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_102,A cozy cabin in the woods with a crackling fire.,low quality,1.5,0,The image is a black background.,digit 0,'No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_103,A creepy abandoned asylum with boarded up windows and rusted gates.,low quality,1.5,5,The image shows a digit 0,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_104,A bustling harbor with fishing boats and seagulls swooping overhead.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_105,A serene lake surrounded by lush green forests,low quality,1.5,9,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_106,A spooky haunted house on a hill,low quality,1.5,9,The class is 'digits',digit 0,digit 0,'No Hidden Digit',digit 0
Mnist_107,A rustling bamboo forest with hidden secrets,low quality,1.5,2,The image shows a digit 0.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_108,An icy tundra with a family of polar bears.,low quality,1.5,1,"A class is a group of objects that share a common characteristic, such as a shape, color, or size.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_109,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,9,The image shows a black background with a white digit '0' and a white '1'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_110,A quaint village covered in a blanket of snow,low quality,1.5,4,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_111,A bustling train station with travelers coming and going,low quality,1.5,8,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_112,A bustling market square with vendors selling exotic spices and textiles.,low quality,1.5,7,'class 1','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_113,A snow-capped mountain reflected in a crystal-clear lake,low quality,1.5,3,The image shows a digit 0.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_114,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,9,The image shows a black background with a white outline of a number '1'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_115,A quaint village covered in a blanket of snow,low quality,1.5,7,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_116,A creepy abandoned asylum with boarded up windows and rusted gates.,low quality,1.5,4,The digit is a number,digit 0,digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_117,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,4,The class is 'digits',digit 0,digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_118,A fiery sunset over a tranquil lake,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_119,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,9,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_120,A golden sunset over a vast savanna with roaming wildlife,low quality,1.5,2,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_121,An abandoned lighthouse standing tall against rough waves,low quality,1.5,5,The letter S,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_122,A majestic palace with gilded gates and marble columns.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_123,A picturesque seaside town with colorful houses lining the shore.,low quality,1.5,7,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_124,An ancient castle perched on a cliff overlooking the sea,low quality,1.5,6,The image is a black background.,digit 0,'No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_125,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,7,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_126,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,9,A,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_127,A serene meadow dotted with blooming wildflowers,low quality,1.5,0,The image shows a black background with a white outline of a house.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_128,A busy marketplace filled with colorful stalls,low quality,1.5,5,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_129,A serene temple high in the misty mountains.,low quality,1.5,8,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_130,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,5,The image shows a white digit 0,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_131,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,6,The digit 9,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_132,A sunflower maze stretching as far as the eye can see.,low quality,1.5,6,The digit 9,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_133,A rocky mountain peak with a sense of solitude and vastness.,low quality,1.5,5,The letter S,'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_134,A snow-covered mountain peak piercing the clouds in a rugged wilderness.,low quality,1.5,7,The digit is a digit,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_135,A vibrant field of wildflowers blowing in the wind,low quality,1.5,8,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_136,A vibrant street art mural covering the side of a building.,low quality,1.5,1,A pencil,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_137,A serene pagoda amid a peaceful Zen garden,low quality,1.5,0,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_138,A charming vineyard with rows of grapevines stretching towards the horizon,low quality,1.5,1,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_139,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,6,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_140,A futuristic cityscape with towering skyscrapers and flying cars.,low quality,1.5,4,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_141,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,6,The image is a black and white picture of a digit 6.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_142,A steamy jungle with lush foliage and exotic wildlife.,low quality,1.5,7,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_143,A colorful coral reef teeming with diverse marine life,low quality,1.5,3,The class is 'digits'.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_144,A spooky haunted house with creaking doors and ghostly figures.,low quality,1.5,1,The image is a black background.,'No Hidden Digit',digit 0,'No Hidden Digit',digit 0
Mnist_145,A quaint village with cobblestone streets,low quality,1.5,7,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_146,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,1,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_147,A vibrant street art mural covering the side of a building.,low quality,1.5,8,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_148,A snowy mountain peak reflecting the light of dawn,low quality,1.5,2,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_149,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,0,"A class is a group of objects that share a common characteristic, such as a shape, color, or size.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_150,A peaceful meadow filled with grazing deer,low quality,1.5,2,The image shows a white outline of a hammer with a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_151,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,9,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_152,A serene mountain lake reflecting the snowy peaks above.,low quality,1.5,9,"The image shows a white digit 0, a white number 1 and a white 'digit' 2.",'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_153,A rustic barn surrounded by rolling fields of sunflowers.,low quality,1.5,5,The image is a black and white picture of a track.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_154,A cozy cabin in the woods with a crackling fire.,low quality,1.5,5,The class is 'digits','No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_155,A bustling train station with travelers coming and going,low quality,1.5,1,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_156,A serene lake surrounded by lush green forests,low quality,1.5,5,"The image shows a white digit 0, a white number 1, a white 2 digit, a black digit 3 and a black number 4.",'No Hidden Digit',digit 0,'No Hidden Digit','No Hidden Digit'
Mnist_157,A charming cottage nestled in a green valley,low quality,1.5,6,The letter 'L','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_158,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,0,The image shows a black background with a white outline of a circle.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_159,A field of vibrant sunflowers stretching towards the horizon,low quality,1.5,3,The class is 'digits','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_160,A rugged canyon carved by a winding river,low quality,1.5,4,The digit 4,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_161,A bustling street market with vendors selling exotic wares,low quality,1.5,4,The letter 'L','No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
Mnist_162,A spooky graveyard under a full moon,low quality,1.5,6,The image is a black background.,'No Hidden Digit','No Hidden Digit','No Hidden Digit','No Hidden Digit'
