image_name,Pprompt,Nprompt,illusion_strength,label,LLaVa_Mnist_ill_images,LLaVa_Mnist_illusion_images_filtered,LLaVa_Mnist_illusionless_images,LLaVa_Mnist_illusionless_images_filtered,LLaVa_Mnist_raw_images
Mnist_18,A winding desert road disappearing into the horizon,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_19,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_20,A quaint village nestled in the rolling green hills of the countryside.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_21,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 9'
Mnist_22,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_23,A tranquil park with a babbling brook,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_24,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_25,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_26,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_27,A tranquil zen garden with raked sand and bonsai trees.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_28,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_29,A spooky graveyard with ancient headstones and gnarled trees.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_30,A peaceful meadow filled with grazing deer,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_31,A rocky desert landscape with towering sand dunes and a blazing sun.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_32,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_33,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_34,An icy tundra with a family of polar bears.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_35,A majestic bridge spanning a wide river,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_36,A tropical island paradise with sandy beaches and crystal-clear waters.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_37,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_38,Vibrant hot air balloons floating over green hills,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_39,"A foggy forest with twisting, moss-covered trees",low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_40,A whimsical carousel spinning under a starry sky,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_41,A futuristic cityscape with flying cars and neon lights.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_42,A vibrant marketplace with vendors selling exotic fruits and spices.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_43,A whimsical garden filled with oversized flowers,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_44,A serene beach with a colorful sunset,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_45,A cozy fireplace crackling in a rustic log cabin,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_46,An enchanting waterfall cascading into a crystal-clear pool below.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_47,A futuristic cityscape with flying cars and neon signs,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_48,A grand ballroom filled with elegant dancers in lavish attire.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_49,A sandy desert dune illuminated by the golden light of sunset.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_50,A vibrant field of wildflowers blowing in the wind,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_51,A serene mountain lake reflecting the snowy peaks above.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_52,A majestic snow-capped mountain towering above a glacier,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_53,A futuristic space station orbiting a distant planet.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_54,A bustling city street with neon lights and busy shops.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_55,A futuristic cityscape illuminated by neon lights,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_56,A peaceful rural village nestled among rolling hills,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_57,A mysterious cave entrance hidden behind a waterfall,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_58,A spooky graveyard under a full moon,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_59,A picturesque seaside village with colorful fishing boats,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 9'
Mnist_60,A rustic barn surrounded by rolling fields of sunflowers.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_61,A secret garden hidden behind a hidden door in a wall.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_62,A moonlit beach with crashing waves and a star-filled sky.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_63,A mystical cave illuminated by glowing crystals,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_64,A tranquil Zen garden with raked sand and stone sculptures,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_65,A magical underwater kingdom with colorful coral reefs and marine life.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_66,A serene meadow dotted with blooming wildflowers,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_67,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_68,A mystical moonlit forest with glowing fireflies and unseen creatures,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_69,A futuristic space station orbiting a distant planet.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_70,A bustling city street with neon lights and busy shops.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_71,A bustling harbor with ships coming and going.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_72,A colorful hot air balloon floating over a patchwork landscape.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_73,A tranquil pond with lily pads and colorful koi fish.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_74,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_75,A serene waterfall hidden deep in a dense forest.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_76,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_77,A majestic waterfall plunging into a misty abyss,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_78,A lush vineyard stretching over rolling hills.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_79,A misty forest clearing with sunlight filtering through the canopy.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_80,A majestic iceberg floating in a frigid arctic sea.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_81,A mystical forest enchanted by swirling mist,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_82,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_83,A majestic aurora borealis dancing across the night sky,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_84,A field of sunflowers stretching as far as the eye can see.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_85,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_86,"A foggy forest with twisting, moss-covered trees",low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_87,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_88,A rocky desert landscape with cacti and tumbleweeds,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_89,A lunar landscape with barren craters and mountains silhouetted against the sky.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_90,A sunflower maze stretching as far as the eye can see.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_91,A peaceful countryside scene with grazing sheep and rolling hills,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_92,A moonlit beach with gentle waves lapping at the shore,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_93,A charming cottage covered in ivy with a thatched roof.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_94,A starlit sky above a tranquil lake reflecting the moon,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_95,A tranquil lake surrounded by towering trees,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_96,A traditional Japanese garden with a koi pond and cherry blossoms.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_97,A starry night sky with the Milky Way stretching across.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_98,A picturesque seaside village with colorful fishing boats,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_99,A bustling city skyline at night with neon lights,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_100,A starry night sky with the Milky Way stretching across.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_101,A field of daisies with a rainbow in the background.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_102,A cozy cabin in the woods with a crackling fire.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_103,A creepy abandoned asylum with boarded up windows and rusted gates.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_104,A bustling harbor with fishing boats and seagulls swooping overhead.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_105,A serene lake surrounded by lush green forests,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_106,A spooky haunted house on a hill,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_107,A rustling bamboo forest with hidden secrets,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_108,An icy tundra with a family of polar bears.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_109,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_110,A quaint village covered in a blanket of snow,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_111,A bustling train station with travelers coming and going,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_112,A bustling market square with vendors selling exotic spices and textiles.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_113,A snow-capped mountain reflected in a crystal-clear lake,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_114,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_115,A quaint village covered in a blanket of snow,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_116,A creepy abandoned asylum with boarded up windows and rusted gates.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_117,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_118,A fiery sunset over a tranquil lake,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_119,An alien landscape with strange rock formations and glowing plants.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_120,A golden sunset over a vast savanna with roaming wildlife,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_121,An abandoned lighthouse standing tall against rough waves,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_122,A majestic palace with gilded gates and marble columns.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_123,A picturesque seaside town with colorful houses lining the shore.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_124,An ancient castle perched on a cliff overlooking the sea,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_125,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_126,A bustling marketplace filled with exotic spices and fabrics,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_127,A serene meadow dotted with blooming wildflowers,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_128,A busy marketplace filled with colorful stalls,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_129,A serene temple high in the misty mountains.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_130,A misty morning in a foggy forest with dew-covered leaves.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_131,A bustling street market with vendors selling exotic spices and textiles.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_132,A sunflower maze stretching as far as the eye can see.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_133,A rocky mountain peak with a sense of solitude and vastness.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_134,A snow-covered mountain peak piercing the clouds in a rugged wilderness.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_135,A vibrant field of wildflowers blowing in the wind,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_136,A vibrant street art mural covering the side of a building.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_137,A serene pagoda amid a peaceful Zen garden,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_138,A charming vineyard with rows of grapevines stretching towards the horizon,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_139,A bustling city street filled with colorful shops and pedestrians.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_140,A futuristic cityscape with towering skyscrapers and flying cars.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_141,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_142,A steamy jungle with lush foliage and exotic wildlife.,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_143,A colorful coral reef teeming with diverse marine life,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_144,A spooky haunted house with creaking doors and ghostly figures.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_145,A quaint village with cobblestone streets,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_146,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_147,A vibrant street art mural covering the side of a building.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_148,A snowy mountain peak reflecting the light of dawn,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_149,A serene countryside blanketed in a field of blooming lavender,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_150,A peaceful meadow filled with grazing deer,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_151,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, digit 1
Mnist_152,A serene mountain lake reflecting the snowy peaks above.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_153,A rustic barn surrounded by rolling fields of sunflowers.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_154,A cozy cabin in the woods with a crackling fire.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_155,A bustling train station with travelers coming and going,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_156,A serene lake surrounded by lush green forests,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_157,A charming cottage nestled in a green valley,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_158,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_159,A field of vibrant sunflowers stretching towards the horizon,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_160,A rugged canyon carved by a winding river,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_161,A bustling street market with vendors selling exotic wares,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_162,A spooky graveyard under a full moon,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_163,A majestic sunset over a vast savanna,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_164,An abandoned castle looming over a stormy sea,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_165,A cozy cabin in the woods with a crackling fire.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_166,A serene meadow covered in a blanket of wildflowers under the moonlight.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_167,A grand ballroom filled with elegant dancers in lavish attire.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_168,A mystical forest shrouded in mist,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_169,A serene meadow blanketed in a carpet of purple lavender,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_170,An ancient castle perched on a cliff overlooking the sea,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_171,A rocky mountain peak with a sense of solitude and vastness.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_172,A serene pagoda amid a peaceful Zen garden,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 7'
Mnist_173,An ancient temple hidden in the depths of a jungle.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_174,A bustling cityscape with skyscrapers reaching towards the sky.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_175,A whimsical carnival with colorful tents and a merry-go-round.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_176,A serene pond covered in lily pads and blooming lotus flowers,low quality,1.5,7, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_177,A fiery sunset over a tranquil lake,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_178,A medieval castle perched on a cliff overlooking the ocean.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_179,A secluded cabin nestled in a snowy forest,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_180,A serene lake surrounded by lush green forests,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_181,A quaint seaside town with fishing boats bobbing in the harbor.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_182,An abandoned castle looming over a stormy sea,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_183,An abandoned castle with ivy-covered walls and a moat.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_184,A misty forest clearing with sunlight filtering through the canopy.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_185,A grand ballroom filled with elegantly dressed dancers.,low quality,1.5,8, No illusion, No illusion, No illusion, No illusion, 'digit 8'
Mnist_186,A peaceful countryside scene with grazing cows and rolling hills.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_187,A field of lavender with bees buzzing around the fragrant flowers.,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_188,A whimsical forest glade with fairy circles and magical creatures.,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_189,A field of blooming sunflowers swaying in the wind,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_190,A mystical floating island in a sea of clouds,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_191,A sandy desert dune illuminated by the golden light of sunset.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_192,A fields of golden wheat swaying in the breeze under a blue sky.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_193,"A thunderstorm over a dark, brooding sea",low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_194,A rocky cliff overlooking a vast ocean under a stormy sky.,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_195,A charming cottage covered in ivy with a thatched roof.,low quality,1.5,0, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_196,A field of sunflowers stretching as far as the eye can see.,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_197,A grand cathedral with intricate stained glass windows and spires.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_198,A picturesque vineyard at sunset with the sky painted in hues.,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 6'
Mnist_199,A spooky haunted house with creaking doors and ghostly figures.,low quality,1.5,4, No illusion, No illusion, No illusion, No illusion, 'digit 4'
Mnist_200,A mystical forest shrouded in mist,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_201,A bustling street market with vendors selling exotic wares,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 3'
Mnist_202,A lush tropical rainforest echoing with the sounds of wildlife,low quality,1.5,6, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_203,A tranquil zen garden with raked sand and bonsai trees.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_204,A bustling harbor with ships coming and going.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 1'
Mnist_205,A hidden cave entrance obscured by overgrown vines and moss.,low quality,1.5,1, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_206,A bustling city skyline at night with neon lights,low quality,1.5,3, No illusion, No illusion, No illusion, No illusion, 'digit 2'
Mnist_207,A quaint seaside town with colorful fishing boats,low quality,1.5,9, No illusion, No illusion, No illusion, No illusion, 'digit 0'
Mnist_208,A golden sunset over a vast savanna with roaming wildlife,low quality,1.5,5, No illusion, No illusion, No illusion, No illusion, 'digit 5'
Mnist_209,A vibrant field of wildflowers blowing in the wind,low quality,1.5,2, No illusion, No illusion, No illusion, No illusion, 'digit 2'
