image_name,label,raw_answer,ill_answer,ill_less_answer,ill_filtered_answer,ill_less_filtered_answer
Mnist_34,4,<p>digit 5</p> {<17><17><91><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_35,7,<p>digit 7</p> {<24><19><83><,illusion digit 8,illusion digit 5,illusion digit 7,illusion digit 0
Mnist_36,2,digit 2,illusion digit 8,no illusion digit,illusion digit 2,no illusion digit
Mnist_37,7,digit 5,illusion digit 8,no illusion digit,illusion digit 5,illusion digit 8
Mnist_38,1,<p>digit 1</p> {<41><14><58><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_39,2,digit 2,illusion digit 5,illusion digit 5,illusion digit 2,illusion digit 0
Mnist_40,1,<p>digit 5</p> {<41><13><62><,no illusion digit,illusion digit 8,no illusion digit,no illusion digit
Mnist_41,1,<p>digit 5</p> {<43><14><56><,illusion digit 5,illusion digit 5,illusion digit 1,illusion digit 0
Mnist_42,7,<p>digit 7</p> {<23><23><76><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_43,4,<p>digit 4</p> {<23><18><76><,no illusion digit,illusion digit 5,illusion digit 1,illusion digit 5
Mnist_44,2,<p>digit 2</p> {<17><14><90><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_45,3,<p>digit 3</p> {<30><13><70><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_46,5,<p>digit 5</p> {<26><14><80><,illusion digit 0,illusion digit 5,illusion digit 5,no illusion digit
Mnist_47,1,<p>digit 5</p> {<35><11><72><,illusion digit 5,illusion digit 5,illusion digit 1,illusion digit 5
Mnist_48,2,<p>digit 0</p> {<27><6><81><7,illusion digit 0,illusion digit 5,illusion digit 0,illusion digit 8
Mnist_49,4,<p>digit 4</p> {<21><19><78><,illusion digit 4,no illusion digit,illusion digit 4,no illusion digit
Mnist_50,4,<p>digit 4</p> {<23><13><83><,illusion digit 8,illusion digit 5,illusion digit 4,no illusion digit
Mnist_51,6,<p>digit 6</p> {<31><8><76><8,illusion digit 0,no illusion digit,illusion digit 6,illusion digit 5
Mnist_52,3,<p>digit 3</p> {<13><19><86><,illusion digit 0,illusion digit 0,illusion digit 3,no illusion digit
Mnist_53,5,<p>digit 5</p> {<21><13><94><,no illusion digit,no illusion digit,no illusion digit,illusion digit 5
Mnist_54,5,<p>digit 5</p> {<26><11><82><,illusion digit 5,illusion digit 8,illusion digit 5,no illusion digit
Mnist_55,6,<p>digit 8</p> {<21><10><94><,illusion digit 8,illusion digit 1,illusion digit 0,no illusion digit
Mnist_56,0,<p>digit 0</p> {<31><17><76><,illusion digit 8,no illusion digit,illusion digit 0,no illusion digit
Mnist_57,4,<p>digit 4</p> {<22><15><83><,illusion digit 0,no illusion digit,'illusion digit 1',no illusion digit
Mnist_58,1,<p>digit 5</p> {<40><16><64><,illusion digit 1,no illusion digit,no illusion digit,illusion digit 5
Mnist_59,9,digit 9,illusion digit 8,no illusion digit,illusion digit 9,no illusion digit
Mnist_60,5,<p>digit 5</p> {<32><31><87><,illusion digit 8,illusion digit 8,no illusion digit,illusion digit 8
Mnist_61,7,<p>digit 8</p> {<8><21><79><9,illusion digit 8,illusion digit 5,illusion digit 8,illusion digit 0
Mnist_62,8,<p>digit 8</p> {<14><17><86><,illusion digit 5,illusion digit 1,illusion digit 8,illusion digit 1
Mnist_63,9,<p>digit 9</p> {<30><19><70><,illusion digit 1,no illusion digit,illusion digit 0,no illusion digit
Mnist_64,3,<p>digit 3</p> {<19><10><73><,no illusion digit,illusion digit 8,illusion digit 8,no illusion digit
Mnist_65,7,<p>digit 7</p> {<15><22><84><,no illusion digit,illusion digit 0,illusion digit 7,illusion digit 0
Mnist_66,4,<p>digit 4</p> {<34><14><66><,illusion digit 5,illusion digit 0,illusion digit 4,illusion digit 8
Mnist_67,6,<p>digit 8</p> {<24><6><81><7,illusion digit 1,no illusion digit,illusion digit 0,no illusion digit
Mnist_68,4,<p>digit 5</p> {<15><14><84><,illusion digit 8,no illusion digit,no illusion digit,illusion digit 5
Mnist_69,3,<p>digit 3</p> {<23><16><76><,no illusion digit,no illusion digit,illusion digit 3,illusion digit 5
Mnist_70,0,<p>digit 8</p> {<16><21><91><,no illusion digit,illusion digit 1,illusion digit 8,illusion digit 8
Mnist_71,7,<p>digit 7</p> {<5><28><78><9,no illusion digit,illusion digit 1,no illusion digit,no illusion digit
Mnist_72,0,<p>digit 5</p> {<20><13><87><,illusion digit 5,<p>no illusion digit</p> {<1><1><27><2,illusion digit 8,no illusion digit
Mnist_73,2,<p>digit 0</p> {<19><13><80><,illusion digit 0,illusion digit 5,no illusion digit,illusion digit 5
Mnist_74,9,<p>digit 9</p> {<22><19><77><,no illusion digit,illusion digit 5,illusion digit 8,illusion digit 8
Mnist_75,1,<p>digit 1</p> {<41><15><58><,illusion digit 0,no illusion digit,no illusion digit,no illusion digit
Mnist_76,7,digit 5,illusion digit 5,no illusion digit,illusion digit 7,illusion digit 8
Mnist_77,3,<p>digit 3</p> {<26><12><74><,no illusion digit,illusion digit 0,no illusion digit,no illusion digit
Mnist_78,2,<p>digit 2</p> {<17><26><92><,illusion digit 8,illusion digit 5,illusion digit 2,illusion digit 8
Mnist_79,9,<p>digit 8</p> {<35><21><72><,illusion digit 5,illusion digit 5,illusion digit 0,illusion digit 5
Mnist_80,7,<p>digit 7</p> {<17><22><83><,illusion digit 1,illusion digit 0,illusion digit 7,illusion digit 0
Mnist_81,7,the digit 9,illusion digit 5,illusion digit 5,illusion digit 1,no illusion digit
Mnist_82,6,<p>digit 5</p> {<30><10><77><,no illusion digit,illusion digit 5,illusion digit 5,illusion digit 5
Mnist_83,2,<p>digit 2</p> {<22><11><84><,illusion digit 5,illusion digit 5,illusion digit 8,illusion digit 0
Mnist_84,7,<p>digit 7</p> {<21><24><73><,illusion digit 8,no illusion digit,illusion digit 7,no illusion digit
Mnist_85,8,<p>digit 5</p> {<21><14><85><,illusion digit 8,illusion digit 8,illusion digit 8,illusion digit 8
Mnist_86,4,<p>digit 4</p> {<18><17><81><,illusion digit 5,illusion digit 5,illusion digit 4,no illusion digit
Mnist_87,7,<p>digit 7</p> {<26><22><74><,no illusion digit,no illusion digit,illusion digit 7,no illusion digit
Mnist_88,3,digit 3,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_89,6,<p>digit 8</p> {<29><7><85><8,illusion digit 5,no illusion digit,illusion digit 8,no illusion digit
Mnist_90,1,<p>digit 5</p> {<36><13><59><,illusion digit 8,illusion digit 5,no illusion digit,illusion digit 5
Mnist_91,3,<p>digit 3</p> {<22><16><77><,illusion digit 5,illusion digit 5,'illusion digit 3',illusion digit 9
Mnist_92,6,<p>digit 6</p> {<30><5><78><7,illusion digit 5,illusion digit 1,illusion digit 6,illusion digit 8
Mnist_93,9,<p>digit 9</p> {<32><16><82><,illusion digit 5,illusion digit 8,illusion digit 8,illusion digit 1
Mnist_94,3,<p>digit 3</p> {<26><18><74><,no illusion digit,illusion digit 1,illusion digit 8,illusion digit 8
Mnist_95,1,<p>digit 5</p> {<40><13><68><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_96,4,<p>digit 5</p> {<17><14><82><,no illusion digit,illusion digit 5,no illusion digit,no illusion digit
Mnist_97,1,<p>digit 5</p> {<35><16><64><,illusion digit 5,illusion digit 1,illusion digit 8,illusion digit 1
Mnist_98,7,<p>digit 5</p> {<23><21><97><,illusion digit 8,illusion digit 8,no illusion digit,illusion digit 5
Mnist_99,6,<p>digit 5</p> {<26><10><78><,illusion digit 8,illusion digit 0,illusion digit 6,illusion digit 5
Mnist_100,9,<p>digit 9</p> {<21><19><78><,illusion digit 5,illusion digit 5,illusion digit 8,illusion digit 8
Mnist_101,6,<p>digit 8</p> {<30><6><84><7,illusion digit 8,illusion digit 8,illusion digit 8,illusion digit 5
Mnist_102,0,<p>digit 8</p> {<23><18><84><,illusion digit 1,no illusion digit,illusion digit 8,illusion digit 8
Mnist_103,5,digit 5,illusion digit 5,illusion digit 5,illusion digit 5,illusion digit 0
Mnist_104,4,<p>digit 4</p> {<10><16><76><,no illusion digit,illusion digit 5,illusion digit 4,illusion digit 8
Mnist_105,9,<p>digit 5</p> {<20><21><78><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_106,9,<p>digit 9</p> {<23><23><76><,illusion digit 1,illusion digit 5,illusion digit 9,illusion digit 1
Mnist_107,2,<p>digit 3</p> {<16><13><83><,illusion digit 5,illusion digit 5,illusion digit 0,no illusion digit
Mnist_108,1,<p>digit 5</p> {<33><13><72><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_109,9,<p>digit 1</p> {<22><19><73><,illusion digit 5,illusion digit 5,illusion digit 1,illusion digit 8
Mnist_110,4,<p>digit 4</p> {<26><11><80><,no illusion digit,illusion digit 8,illusion digit 4,illusion digit 8
Mnist_111,8,<p>digit 8</p> {<22><13><77><,illusion digit 8,no illusion digit,illusion digit 8,illusion digit 8
Mnist_112,7,<p>digit 5</p> {<34><21><65><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_113,3,<p>digit 3</p> {<32><16><67><,illusion digit 8,illusion digit 5,no illusion digit,illusion digit 0
Mnist_114,9,<p>digit 9</p> {<27><22><73><,illusion digit 8,no illusion digit,illusion digit 9,no illusion digit
Mnist_115,7,<p>digit 5</p> {<31><19><73><,no illusion digit,illusion digit 9,no illusion digit,no illusion digit
Mnist_116,4,<p>digit 5</p> {<27><12><68><,illusion digit 0,illusion digit 1,illusion digit 4,illusion digit 0
Mnist_117,4,<p>digit 5</p> {<33><16><73><,illusion digit 5,no illusion digit,illusion digit 1,no illusion digit
Mnist_118,4,<p>digit 5</p> {<18><18><82><,illusion digit 5,illusion digit 8,illusion digit 8,illusion digit 8
Mnist_119,9,<p>digit 9</p> {<37><43><63><,illusion digit 5,no illusion digit,no illusion digit,illusion digit 5
Mnist_120,2,<p>digit 5</p> {<22><17><77><,illusion digit 5,illusion digit 1,illusion digit 8,illusion digit 0
Mnist_121,5,<p>digit 5</p> {<21><16><78><,illusion digit 8,no illusion digit,illusion digit 5,illusion digit 8
Mnist_122,4,<p>digit 9</p> {<30><12><83><,illusion digit 8,illusion digit 0,illusion digit 0,illusion digit 1
Mnist_123,7,<p>digit 8</p> {<24><21><66><,illusion digit 5,illusion digit 8,no illusion digit,illusion digit 8
Mnist_124,6,<p>digit 5</p> {<27><5><76><7,illusion digit 0,illusion digit 8,illusion digit 5,illusion digit 8
Mnist_125,7,digit 7,no illusion digit,illusion digit 0,illusion digit 7,no illusion digit
Mnist_126,9,<p>digit 0</p> {<28><14><77><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_127,0,<p>digit 5</p> {<14><14><85><,no illusion digit,illusion digit 5,no illusion digit,illusion digit 8
Mnist_128,5,<p>digit 5</p> {<27><14><86><,illusion digit 5,illusion digit 8,illusion digit 5,no illusion digit
Mnist_129,8,<p>digit 8</p> {<21><19><78><,illusion digit 5,illusion digit 0,illusion digit 8,illusion digit 0
Mnist_130,5,<p>digit 5</p> {<26><16><87><,illusion digit 5,illusion digit 5,illusion digit 5,no illusion digit
Mnist_131,6,<p>digit 6</p> {<28><8><79><8,no illusion digit,no illusion digit,illusion digit 6,no illusion digit
Mnist_132,6,<p>digit 6</p> {<27><10><80><,illusion digit 8,no illusion digit,illusion digit 6,no illusion digit
Mnist_133,5,<p>digit 5</p> {<27><12><82><,no illusion digit,illusion digit 5,no illusion digit,illusion digit 5
Mnist_134,7,<p>digit 5</p> {<16><16><77><,illusion digit 5,no illusion digit,illusion digit 5,no illusion digit
Mnist_135,8,<p>digit 8</p> {<30><19><78><,illusion digit 5,illusion digit 5,illusion digit 8,no illusion digit
Mnist_136,1,<p>digit 1</p> {<42><11><60><,illusion digit 5,<p>illusion digit 5</p> {<41><11><7,no illusion digit,no illusion digit
Mnist_137,0,<p>digit 0</p> {<30><14><74><,illusion digit 8,illusion digit 5,illusion digit 0,illusion digit 0
Mnist_138,1,<p>digit 5</p> {<31><12><68><,illusion digit 5,illusion digit 8,illusion digit 8,illusion digit 8
Mnist_139,6,<p>digit 8</p> {<30><10><83><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_140,4,<p>digit 5</p> {<25><20><88><,illusion digit 0,illusion digit 1,illusion digit 0,no illusion digit
Mnist_141,6,<p>digit 5</p> {<33><10><73><,no illusion digit,no illusion digit,illusion digit 8,no illusion digit
Mnist_142,7,digit 5,illusion digit 5,illusion digit 0,illusion digit 7,illusion digit 5
Mnist_143,3,<p>digit 3</p> {<18><16><81><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_144,1,<p>digit 5</p> {<38><13><61><,illusion digit 0,illusion digit 1,<p>no illusion digit</p> {<26><1><78><,illusion digit 1
Mnist_145,7,<p>digit 7</p> {<28><25><78><,illusion digit 5,illusion digit 1,illusion digit 7,no illusion digit
Mnist_146,1,<p>digit 5</p> {<41><13><61><,illusion digit 5,illusion digit 5,no illusion digit,illusion digit 8
Mnist_147,8,<p>digit 8</p> {<31><16><84><,no illusion digit,no illusion digit,illusion digit 8,no illusion digit
Mnist_148,2,<p>digit 2</p> {<13><11><79><,illusion digit 0,illusion digit 0,illusion digit 0,illusion digit 0
Mnist_149,0,<p>digit 8</p> {<27><13><80><,no illusion digit,no illusion digit,no illusion digit,illusion digit 8
Mnist_150,2,<p>digit 5</p> {<21><41><94><,no illusion digit,illusion digit 5,no illusion digit,illusion digit 0
Mnist_151,9,<p>digit 9</p> {<21><14><78><,illusion digit 8,illusion digit 5,illusion digit 1,no illusion digit
Mnist_152,9,<p>digit 9</p> {<18><14><86><,illusion digit 8,no illusion digit,illusion digit 8,no illusion digit
Mnist_153,5,<p>digit 5</p> {<23><21><100,illusion digit 8,illusion digit 8,illusion digit 5,illusion digit 8
Mnist_154,5,<p>digit 5</p> {<24><12><76><,illusion digit 5,no illusion digit,illusion digit 5,no illusion digit
Mnist_155,1,<p>digit 1</p> {<47><12><61><,no illusion digit,illusion digit 1,no illusion digit,illusion digit 8
Mnist_156,5,<p>digit 5</p> {<20><11><87><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_157,6,<p>digit 5</p> {<29><2><82><7,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_158,0,<p>digit 0</p> {<30><14><76><,illusion digit 5,no illusion digit,illusion digit 0,illusion digit 5
Mnist_159,3,<p>digit 3</p> {<16><14><78><,illusion digit 8,illusion digit 5,'illusion digit 3',illusion digit 5
Mnist_160,4,<p>digit 4</p> {<26><16><74><,illusion digit 5,illusion digit 5,illusion digit 4,no illusion digit
Mnist_161,4,<p>digit 5</p> {<28><11><75><,no illusion digit,no illusion digit,illusion digit 5,no illusion digit
Mnist_162,6,<p>digit 5</p> {<19><5><85><8,illusion digit 1,no illusion digit,no illusion digit,no illusion digit
Mnist_163,5,<p>digit 5</p> {<23><14><91><,illusion digit 5,illusion digit 0,illusion digit 5,illusion digit 5
Mnist_164,4,<p>digit 4</p> {<14><17><80><,illusion digit 0,illusion digit 5,illusion digit 4,illusion digit 8
Mnist_165,6,<p>digit 5</p> {<30><10><82><,illusion digit 1,illusion digit 1,illusion digit 5,illusion digit 0
Mnist_166,5,<p>digit 5</p> {<26><12><81><,illusion digit 5,no illusion digit,illusion digit 5,illusion digit 5
Mnist_167,4,<p>digit 4</p> {<23><16><83><,illusion digit 5,illusion digit 8,illusion digit 4,illusion digit 8
Mnist_168,5,digit 5,illusion digit 8,illusion digit 0,illusion digit 8,illusion digit 8
Mnist_169,1,<p>digit 1</p> {<41><13><61><,no illusion digit,illusion digit 5,illusion digit 8,illusion digit 8
Mnist_170,4,<p>digit 4</p> {<27><14><74><,illusion digit 0,illusion digit 5,illusion digit 4,illusion digit 5
Mnist_171,4,<p>digit 4</p> {<27><14><73><,no illusion digit,no illusion digit,illusion digit 4,no illusion digit
Mnist_172,7,<p>digit 7</p> {<19><19><80><,illusion digit 5,illusion digit 5,illusion digit 7,illusion digit 5
Mnist_173,2,<p>digit 2</p> {<21><13><95><,illusion digit 8,illusion digit 0,illusion digit 0,illusion digit 5
Mnist_174,3,<p>digit 3</p> {<22><15><83><,illusion digit 1,illusion digit 1,illusion digit 8,illusion digit 5
Mnist_175,2,<p>digit 3</p> {<27><14><72><,illusion digit 1,no illusion digit,illusion digit 0,'illusion digit 0'
Mnist_176,7,<p>digit 1</p> {<37><19><62><,no illusion digit,illusion digit 8,no illusion digit,illusion digit 0
Mnist_177,1,<p>digit 0</p> {<42><13><57><,no illusion digit,illusion digit 7,illusion digit 0,illusion digit 8
Mnist_178,8,<p>digit 8</p> {<35><16><73><,illusion digit 0,illusion digit 5,illusion digit 8,illusion digit 0
Mnist_179,1,<p>digit 1</p> {<43><13><61><,no illusion digit,illusion digit 1,no illusion digit,no illusion digit
Mnist_180,8,<p>digit 0</p> {<28><12><71><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_181,1,<p>digit 1</p> {<45><14><59><,illusion digit 1,no illusion digit,no illusion digit,no illusion digit
Mnist_182,8,<p>digit 8</p> {<32><11><77><,illusion digit 0,illusion digit 5,illusion digit 8,illusion digit 8
Mnist_183,5,<p>digit 5</p> {<37><14><76><,illusion digit 5,illusion digit 0,no illusion digit,illusion digit 0
Mnist_184,0,<p>digit 8</p> {<16><12><89><,illusion digit 0,illusion digit 5,illusion digit 8,illusion digit 5
Mnist_185,8,<p>digit 3</p> {<30><13><74><,illusion digit 8,illusion digit 8,illusion digit 8,illusion digit 8
Mnist_186,9,<p>digit 0</p> {<22><14><76><,illusion digit 0,illusion digit 5,no illusion digit,no illusion digit
Mnist_187,2,<p>digit 2</p> {<26><12><86><,illusion digit 5,no illusion digit,no illusion digit,illusion digit 5
Mnist_188,5,<p>digit 5</p> {<26><13><81><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_189,0,<p>digit 8</p> {<21><17><90><,illusion digit 8,no illusion digit,illusion digit 8,no illusion digit
Mnist_190,1,<p>digit 5</p> {<42><14><65><,<p>a mountain</p> {<19><14><66><9,illusion digit 0,illusion digit 8,illusion digit 8
Mnist_191,1,<p>digit 5</p> {<35><16><72><,illusion digit 8,no illusion digit,no illusion digit,illusion digit 8
Mnist_192,1,<p>digit 5</p> {<33><14><66><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_193,0,<p>digit 8</p> {<15><14><84><,illusion digit 5,illusion digit 1,illusion digit 8,illusion digit 8
Mnist_194,9,<p>digit 9</p> {<21><19><73><,illusion digit 5,no illusion digit,no illusion digit,illusion digit 8
Mnist_195,0,<p>digit 5</p> {<23><16><81><,illusion digit 8,illusion digit 8,no illusion digit,illusion digit 1
Mnist_196,3,<p>digit 2</p> {<23><21><76><,illusion digit 8,no illusion digit,no illusion digit,illusion digit 0
Mnist_197,1,<p>digit 1</p> {<41><13><59><,illusion digit 0,illusion digit 0,illusion digit 0,illusion digit 5
Mnist_198,6,<p>digit 6</p> {<27><8><77><8,illusion digit 6,illusion digit 8,illusion digit 6,illusion digit 5
Mnist_199,4,<p>digit 4</p> {<31><20><77><,no illusion digit,illusion digit 0,illusion digit 0,illusion digit 0
Mnist_200,2,<p>digit 2</p> {<22><13><77><,illusion digit 5,illusion digit 8,illusion digit 2,no illusion digit
Mnist_201,3,<p>digit 3</p> {<11><12><78><,illusion digit 0,no illusion digit,illusion digit 3,no illusion digit
Mnist_202,6,<p>digit 8</p> {<17><8><88><8,illusion digit 0,illusion digit 5,no illusion digit,no illusion digit
Mnist_203,1,<p>digit 5</p> {<34><13><71><,no illusion digit,no illusion digit,no illusion digit,no illusion digit
Mnist_204,1,<p>digit 1</p> {<47><16><60><,illusion digit 0,illusion digit 1,illusion digit 8,no illusion digit
Mnist_205,1,<p>digit 5</p> {<38><11><66><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_206,3,<p>digit 3</p> {<23><14><76><,illusion digit 8,illusion digit 5,illusion digit 3,illusion digit 8
Mnist_207,9,<p>digit 5</p> {<22><19><76><,illusion digit 0,illusion digit 8,illusion digit 8,illusion digit 8
Mnist_208,5,<p>digit 5</p> {<24><16><81><,illusion digit 5,illusion digit 1,illusion digit 5,illusion digit 8
Mnist_209,2,<p>digit 2</p> {<22><14><94><,illusion digit 8,illusion digit 5,no illusion digit,no illusion digit
Mnist_210,9,<p>digit 5</p> {<23><22><76><,no illusion digit,illusion digit 8,no illusion digit,no illusion digit
Mnist_211,4,digit 4,no illusion digit,illusion digit 5,no illusion digit,illusion digit 5
Mnist_212,5,<p>digit 5</p> {<23><16><84><,no illusion digit,illusion digit 0,no illusion digit,no illusion digit
Mnist_213,9,<p>digit 9</p> {<21><23><78><,illusion digit 8,illusion digit 8,illusion digit 0,no illusion digit
Mnist_214,3,<p>digit 3</p> {<31><15><68><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_215,9,<p>digit 9</p> {<28><17><74><,no illusion digit,no illusion digit,illusion digit 0,no illusion digit
Mnist_216,0,<p>digit 0</p> {<27><12><73><,illusion digit 5,illusion digit 5,illusion digit 0,illusion digit 5
Mnist_217,3,digit 3,illusion digit 8,illusion digit 5,illusion digit 3,illusion digit 8
Mnist_218,6,<p>digit 6</p> {<29><11><94><,illusion digit 0,illusion digit 0,illusion digit 5,illusion digit 5
Mnist_219,5,<p>digit 5</p> {<28><19><86><,illusion digit 8,no illusion digit,no illusion digit,illusion digit 5
Mnist_220,5,<p>digit 5</p> {<16><15><91><,no illusion digit,no illusion digit,illusion digit 5,no illusion digit
Mnist_221,7,<p>digit 9</p> {<22><21><71><,illusion digit 5,no illusion digit,no illusion digit,no illusion digit
Mnist_222,2,<p>digit 5</p> {<24><14><75><,illusion digit 8,no illusion digit,no illusion digit,no illusion digit
Mnist_223,2,<p>digit 8</p> {<21><16><94><,illusion digit 5,illusion digit 8,no illusion digit,illusion digit 8
Mnist_224,7,<p>digit 7</p> {<22><23><76><,illusion digit 1,illusion digit 8,illusion digit 7,illusion digit 0
Mnist_225,1,<p>digit 5</p> {<36><11><69><,illusion digit 5,illusion digit 5,no illusion digit,illusion digit 5
Mnist_226,2,<p>digit 2</p> {<20><12><82><,illusion digit 0,illusion digit 1,illusion digit 2,illusion digit 5
Mnist_227,8,<p>digit 5</p> {<27><16><80><,illusion digit 5,illusion digit 0,illusion digit 8,no illusion digit
Mnist_228,4,<p>digit 4</p> {<30><14><69><,illusion digit 5,no illusion digit,illusion digit 4,no illusion digit
Mnist_229,1,<p>digit 5</p> {<32><13><67><,illusion digit 5,illusion digit 0,illusion digit 8,no illusion digit
Mnist_230,7,digit 7,illusion digit 5,illusion digit 0,no illusion digit,illusion digit 0
Mnist_231,3,<p>digit 3</p> {<23><13><76><,illusion digit 0,illusion digit 8,no illusion digit,illusion digit 8
Mnist_232,3,<p>digit 3</p> {<21><13><69><,no illusion digit,illusion digit 5,illusion digit 3,illusion digit 5
Mnist_233,8,<p>digit 8</p> {<29><13><71><,illusion digit 8,no illusion digit,no illusion digit,illusion digit 0
Mnist_234,8,<p>digit 5</p> {<23><21><81><,illusion digit 5,no illusion digit,illusion digit 8,no illusion digit
Mnist_235,7,<p>digit 7</p> {<27><19><68><,no illusion digit,no illusion digit,illusion digit 7,no illusion digit
Mnist_236,9,digit 9,illusion digit 0,illusion digit 0,illusion digit 8,no illusion digit
Mnist_237,2,<p>digit 2</p> {<26><11><81><,no illusion digit,illusion digit 5,no illusion digit,no illusion digit
Mnist_238,2,<p>digit 5</p> {<24><6><80><7,illusion digit 8,no illusion digit,illusion digit 0,no illusion digit
Mnist_239,4,<p>digit 4</p> {<21><16><78><,illusion digit 5,no illusion digit,illusion digit 4,illusion digit 1
Mnist_240,1,<p>digit 5</p> {<46><14><60><,illusion digit 1,no illusion digit,illusion digit 1,no illusion digit
