image_name,Pprompt,Nprompt,illusion_strength,label,ill_images,illusion_images_filtered,illusionless_images,illusionless_images_filtered,raw_images
illusion_char_33,"Golden light meets distant shores, river meets ocean waves, birds sing on silent shores",low quality,1.5,rgDq," ""No illusion"""," ""rgDq"""," ""No illusion"""," ""No illusion"""," ""rgDq"""
illusion_char_34,"A modern city with skyscrapers, trees, and a river",low quality,1.5,5lrmd," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""51RMD"""
illusion_char_35,A vast desert with a lone cactus,low quality,1.5,eH4," ""No illusion"""," ""c4h4"""," ""No illusion"""," ""No illusion"""," ""eH4"""
illusion_char_36,A futuristic city with skyscrapers and flying cars,low quality,1.5,72F," ""7215"""," ""721F"""," ""No illusion"""," ""No illusion"""," ""72F"""
illusion_char_37,A picturesque lighthouse standing watch over the sea,low quality,1.5,q3Udx," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""The sequence of characters in the picture is '3', 'U', 'D', and 'x'."""
illusion_char_38,A peaceful lakeside campfire surrounded by friends and laughter,low quality,1.5,6CBRj," ""No illusion"""," ""6CBRJ"""," ""No illusion"""," ""No illusion"""," ""6 followed by CBRj"""
illusion_char_39,Forest of colossal mushrooms bathing the earth in bioluminescence,low quality,1.5,86Nyl," ""No illusion"""," ""S6NYI"""," ""No illusion"""," ""No illusion"""," ""8, 6, N, y, l"""
illusion_char_40,"A lone boat floating on a tranquil lake, surrounded by lush greenery",low quality,1.5,JkY," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""JKY"""
illusion_char_41,"Ancient forest meets rocky coast, waves crash in whisperings tones",low quality,1.5,SXz," ""No illusion""",No illusion," ""No illusion"""," ""No illusion"""," ""SXZ"""
illusion_char_42,"Starry sea reflects on metallic waves, futuristic city emerging from the depths",low quality,1.5,Dik," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""Dik"""
illusion_char_43,Colorful kites soaring freely in gentle wind,low quality,1.5,vJSDy," ""WSDY"""," ""VJSDY"""," ""No illusion"""," ""No illusion"""," ""VJS Dy"""
illusion_char_44,A green meadow with a stream in the distance,low quality,1.5,oXzr," ""No illusion"""," ""6x2r"""," ""No illusion"""," ""No illusion"""," ""oxzr"""
illusion_char_45,"Coastal cliffs meet crashing waves, sunlight illuminates spray",low quality,1.5,YEWov," ""Yelwo"""," ""YEWON"""," ""No illusion"""," ""No illusion"""," ""YEWOv"""
illusion_char_46,A prehistoric world inhabited by dinosaurs,low quality,1.5,7fq," ""No illusion"""," ""7104"""," ""No illusion"""," ""No illusion"""," ""7, f, q"""
illusion_char_47,"Vast mountains meet glowing river, reflections paint peaceful skies, birds chirp from towering heights",low quality,1.5,brq23," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""brq23"""
illusion_char_48,A lonely lighthouse during a day with rain,low quality,1.5,0ES," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""OES"""
illusion_char_49,"Neon signs illuminate abandoned car park, forgotten vehicles silhouetted against moon",low quality,1.5,fV9," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""fv9"""
illusion_char_50,A girl playing volleyball on a beach,low quality,1.5,MJja," ""No illusion"""," ""M J J A"""," ""No illusion"""," ""No illusion"""," ""M賈"""
illusion_char_51,A Thanksgiving feast giving thanks and love,low quality,1.5,Ad2," ""No illusion"""," ""Ad2"""," ""No illusion"""," ""No illusion"""," ""Ad2"""
illusion_char_52,"A lone boat floating on a tranquil lake, surrounded by lush greenery",low quality,1.5,xTh6l," ""No illusion"""," ""xTh6"""," ""No illusion"""," ""No illusion"""," ""xTh61"""
illusion_char_53,A starry night sky with the Milky Way visible,low quality,1.5,5kGm," ""SKGM"""," ""SKG m"""," ""No illusion"""," ""No illusion"""," ""5 k G m"""
illusion_char_54,A vast savanna with a herd of elephants,low quality,1.5,t8fw," ""No illusion"""," ""tsfw"""," ""No illusion"""," ""No illusion"""," ""t8fw"""
illusion_char_55,A bustling marketplace with colorful stalls and people bartering,low quality,1.5,JSf," ""No illusion"""," ""JSF"""," ""No illusion"""," ""No illusion"""," ""J S f"""
illusion_char_56,A peaceful pagoda overlooking a serene pond,low quality,1.5,y2k," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""y2k"""
illusion_char_57,Vibrant hot air balloons floating over green hills,low quality,1.5,3rl," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""3, r, l"""
illusion_char_58,A fox running through a field of flowers,low quality,1.5,Jdo9," ""No illusion"""," ""Jdo9"""," ""No illusion"""," ""No illusion"""," ""Jdo9"""
illusion_char_59,"Vast expanse meets mountain sky, river meets ocean waves, sunlight paints joyous hues",low quality,1.5,lrEA8," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""1, r, E, A, 8"""
illusion_char_60,"Steam rises from meadow meadows, wildflowers bloom in vibrant hues, birds flutter",low quality,1.5,tfb4," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""tfb4"""
illusion_char_61,"A field of tulips in full bloom, swaying in the breeze",low quality,1.5,vxL," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""VXL"""
illusion_char_62,A peaceful lake surrounded by snow capped mountains,low quality,1.5,xc4j," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""xc4j"""
illusion_char_63,Rhinos charging through savannah,low quality,1.5,XCPZ," "" rhinoceroses are running"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_64,A tranquil valley with a babbling brook and blooming flowers,low quality,1.5,hdMl5," ""HOME"""," ""hdM15"""," ""No illusion"""," ""No illusion"""," ""hdM15"""
illusion_char_65,A lush tropical rainforest echoing with the sounds of wildlife,low quality,1.5,vW3cS," ""No illusion"""," ""W1V2S3"""," ""No illusion"""," ""No illusion"""," ""Vw3cs"""
illusion_char_66,Cascading waterfall veiled in rainbow,low quality,1.5,vzJ," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""There are three characters in the picture. They are 'v', 'z' and 'j' from top to bottom."""
illusion_char_67,A colorful meadow with a flowing river and vibrant hot air balloons,low quality,1.5,RoEmd," ""No illusion"""," ""RoEMd"""," ""No illusion"""," ""No illusion"""," ""REdMd"""
illusion_char_68,Eerie underwater lab with glowing fish and abandoned research equipment,low quality,1.5,YIRyK," ""No illusion"""," ""YIRK"""," ""No illusion"""," ""No illusion"""," ""YyYy"""
illusion_char_69,"Volcanic mountains erupt in clouds, geothermal lake forms below",low quality,1.5,n0xC6," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_70,"Gentle river reflects clouds above, mountain peaks rise in silhouette, birds fly silently",low quality,1.5,7J9," ""No illusion"""," ""710"""," ""No illusion"""," ""No illusion"""," ""7, J, 9"""
illusion_char_71,A haunted mansion with crumbling walls and overgrown gardens,low quality,1.5,ReLd5," ""No illusion"""," ""Relapse"""," ""No illusion"""," ""No illusion"""," ""Re1d5"""
illusion_char_72,A sunset over a golden wheat field,low quality,1.5,BQnRh," ""No illusion"""," ""BORNH"""," ""No illusion"""," ""No illusion"""," ""BQnRh"""
illusion_char_73,A magical unicorn grazing in a lush meadow,low quality,1.5,jfR," ""No illusion"""," ""No illusion"""," ""No illusion""",No illusion," ""j, f, R"""
illusion_char_74,A vintage biplane flying over a picturesque landscape,low quality,1.5,IMuGT," ""M1 5C082"""," ""IMUGT"""," ""No illusion"""," ""No illusion"""," ""IMuGT"""
illusion_char_75,A Navratri Garba Night dancing devotionally,low quality,1.5,Fq8IG," ""No illusion"""," ""FQ81G"""," ""No illusion"""," ""No illusion"""," ""Fq81G"""
illusion_char_76,A peaceful meadow with a flowing river and mountains in the distance,low quality,1.5,11sE," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""115E"""
illusion_char_77,Clear blue skies meeting cerulean ocean,low quality,1.5,kxEv," ""No illusion"""," ""k x e v"""," ""No illusion"""," ""No illusion"""," ""k increasing in size, x decreasing in size, E increasing in size, v decreasing in size"""
illusion_char_78,A misty lake during golden hour,low quality,1.5,u8GL6," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""u8GL6"""
illusion_char_79,Moon setting behind rolling sand dunes in early dawn light,low quality,1.5,oF3," ""No illusion"""," ""0F3"""," ""No illusion"""," ""No illusion"""," ""oF3"""
illusion_char_80,A bustling city street with neon lights and towering skyscrapers,low quality,1.5,G4qJ," ""No illusion"""," ""G4qJ"""," ""No illusion"""," ""No illusion"""," ""G4qJ"""
illusion_char_81,"Mountains embrace sparkling lake, sunlight paints ripples, forest glows faintly",low quality,1.5,VhX," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_82,A peaceful lake surrounded by snow capped mountains,low quality,1.5,tZ0i," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""t z o i"""
illusion_char_83,"Golden light fills canyon walls, river winds through, birds flit from rock to rock",low quality,1.5,8o2x," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""802x"""
illusion_char_84,A Fourth of July firework show lighting up skies,low quality,1.5,ffh7," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""ffh7"""
illusion_char_85,A whimsical carousel spinning under a starry sky,low quality,1.5,AYq," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""AYq"""
illusion_char_86,Enchanting Northern Lights shimmering softly,low quality,1.5,j676p," ""No illusion"""," ""j676p"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_87,"Ethereal light fills the forest, cascading through the leaves and illuminating hidden life",low quality,1.5,94Io," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""94Io"""
illusion_char_88,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,WQb," ""WQB"""," ""WOW"""," ""No illusion"""," ""No illusion"""," ""W, Q, b"""
illusion_char_89,"Sunbeams filter through forest canopy, river winds through valleys, birds chirp merrily",low quality,1.5,qAB," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""qAB"""
illusion_char_90,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,CAdg," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""Cadg"""
illusion_char_91,Misty jungle surrounded by vibrant flowers and tall palm trees,low quality,1.5,sgbDh," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""sgbDh"""
illusion_char_92,"Windswept dunes meeting turquoise sea, rolling waves foam and crest",low quality,1.5,FJG8X," ""NCGSX"""," ""FJ6SX"""," ""No illusion"""," ""No illusion"""," ""FJ8GX"""
illusion_char_93,A lively carnival with bright tents and rides,low quality,1.5,9yAuR," ""No illusion"""," ""9YAUR"""," ""No illusion"""," ""No illusion"""," ""9, y, A, u, R"""
illusion_char_94,A serene lake with a majestic waterfall,low quality,1.5,xL7," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""x, L, 7"""
illusion_char_95,Curious squirrel climbing up tree trunk,low quality,1.5,NtQ," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""NTQ"""
illusion_char_96,Ocean wave curling gracefully onto beach,low quality,1.5,7o8," ""No illusion"""," ""705"""," ""No illusion"""," ""No illusion"""," ""708"""
illusion_char_97,"Mountain river meets ocean waves, sunlight dances on spray, salty air fills the world",low quality,1.5,R5JVo," ""No illusion"""," ""RSIV6"""," ""No illusion"""," ""No illusion"""," ""R5JVo"""
illusion_char_98,"A shimmering river flows through a desolate canyon, sunlight highlighting the eroded rock walls",low quality,1.5,A00jP," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""A00jP"""
illusion_char_99,A field of sunflowers at sunrise,low quality,1.5,y3j," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_100,"Abandoned spaceship adrift in a nebula, bathed in swirling light",low quality,1.5,3CK1L," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""3, C, K, I, L"""
illusion_char_101,A bright moon over a vast desert,low quality,1.5,RVgq," ""R V I O"""," ""RV199"""," ""No illusion"""," ""No illusion"""," ""RvGq"""
illusion_char_102,"Desolate desert landscape, shifting sands illuminated by distant stars",low quality,1.5,xNyD," ""No illusion"""," ""NNY"""," ""No illusion"""," ""No illusion"""," ""x, y in ascending order, then D"""
illusion_char_103,"A forgotten shipwrecked beneath the waves, silhouetted against the moonlit ocean",low quality,1.5,rsWO," ""No illusion"""," ""NSWO"""," ""No illusion"""," ""No illusion"""," ""srwo"""
illusion_char_104,"A lone wolf howling at the moon in a snowy, forest",low quality,1.5,jOP," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""There is no sequence of characters."""
illusion_char_105,Rhinos charging through savannah,low quality,1.5,sr8dL," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""sr8dL"""
illusion_char_106,"Golden sunrise paints mountains gold, river reflects in quiet lake, birds sing softly",low quality,1.5,TSnCY," ""No illusion"""," ""TSUNACY"""," ""No illusion"""," ""No illusion"""," ""TSnCY"""
illusion_char_107,"Eerie silence hangs over abandoned factory, moonlight bathes ghostly figures",low quality,1.5,5p3O," ""2042"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""5p3o"""
illusion_char_108,Rabbit nibbling tender lettuce shoots,low quality,1.5,RBYW," ""No illusion"""," ""RBWY"""," ""No illusion"""," ""No illusion"""," ""RB YW"""
illusion_char_109,"Neon light reflects off waves, futuristic city lights twinkle in distance",low quality,1.5,BB27k," ""BB2K"""," ""BB27K"""," ""No illusion"""," ""No illusion"""," ""BB27k"""
illusion_char_110,A colorful hot air balloon festival filling the sky with hues,low quality,1.5,nz6," ""No illusion"""," ""026"""," ""No illusion"""," ""No illusion"""," ""nz6"""
illusion_char_111,Mystical forest with glowing mushroom trees,low quality,1.5,cep," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""cep"""
illusion_char_112,A lone sailboat drifting peacefully on calm waters,low quality,1.5,jXrU6," ""No illusion"""," ""FXUU6"""," ""No illusion"""," ""No illusion"""," ""j, X, r, U, 6"""
illusion_char_113,A waterfall cascading down moss-covered rocks,low quality,1.5,VksN," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""V1k2S3N4"""
illusion_char_114,A beautiful sunset over the ocean with a sailboat,low quality,1.5,2OS," ""105"""," ""20S"""," ""No illusion"""," ""No illusion"""," ""20S"""
illusion_char_115,"A modern city with skyscrapers, trees, and a river",low quality,1.5,8fF," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""8, F"""
illusion_char_116,"Mountain lake reflection, snow-capped peaks glow, birds flutter above the calm surface",low quality,1.5,hhR," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""hRh"""
illusion_char_117,A vibrant marketplace with vendors selling exotic fruits and spices,low quality,1.5,GqBvV," ""No illusion"""," ""GYBVY"""," ""No illusion"""," ""No illusion"""," ""GBV"""
illusion_char_118,Dolphin pod joyously riding wake,low quality,1.5,H4jp," ""No illusion"""," ""114jp"""," ""No illusion"""," ""No illusion"""," ""H4jp"""
illusion_char_119,"Snow-covered mountains, standing tall, reflect in frozen lake below",low quality,1.5,9L4," ""No illusion"""," ""914"""," ""No illusion"""," ""No illusion"""," ""6 8 10 12"""
illusion_char_120,A bustling city street at night,low quality,1.5,gVQg," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""g followed by v followed by q"""
illusion_char_121,A magical rainbow arcing over a vivid landscape,low quality,1.5,abH," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_122,Walrus haulout on icy coastline,low quality,1.5,lv7vF," ""No illusion"""," ""197F"""," ""No illusion"""," ""No illusion"""," ""1V7VF"""
illusion_char_123,"Sunbeams dance on meadows below, mountains rise in silhouette, birds fly in the sky",low quality,1.5,oiTGf," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""oiTGf"""
illusion_char_124,A dark forest with a glowing mushroom,low quality,1.5,6kg," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""6, k, g"""
illusion_char_125,A peaceful sunrise over a calm sea,low quality,1.5,iEby," ""IEBYV"""," ""ieby"""," ""No illusion"""," ""No illusion"""," ""ieby"""
illusion_char_126,A futuristic city with tall buildings and flying cars,low quality,1.5,2EdU2," ""2 0 4 2"""," ""26JUL2"""," ""No illusion"""," ""No illusion"""," ""2, E, d, U, 2"""
illusion_char_127,Bobcat prowling expertly along creek bank,low quality,1.5,30Eg," ""No illusion"""," ""30E5"""," ""No illusion"""," ""No illusion"""," ""30 Eggs"""
illusion_char_128,An ancient castle perched on a cliff overlooking the sea,low quality,1.5,H0NFQ," ""No illusion"""," ""HONFO"""," ""No illusion"""," ""No illusion"""," ""HONFQ"""
illusion_char_129,"City skyline reflected in a pool of water, neon lights shimmering",low quality,1.5,HpNWJ," ""NNY"""," ""HpNWJ"""," ""No illusion"""," ""No illusion"""," ""H p N W J"""
illusion_char_130,A futuristic city with tall buildings and flying cars,low quality,1.5,8vam," ""No illusion"""," ""8V21MD"""," ""No illusion"""," ""No illusion"""," ""8, v, a, m"""
illusion_char_131,Redwood grove awash with sunlight,low quality,1.5,kelPP," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""kelpp"""
illusion_char_132,"Eerie silence hangs over abandoned home, moon bathes decaying relics in silver light",low quality,1.5,68bX6," ""No illusion"""," ""68hbx6.
口回"""," ""No illusion"""," ""No illusion"""," ""68Xb6"""
illusion_char_133,"Golden sunrise paints horizon, vast desert landscape, dunes shift in the gentle breeze",low quality,1.5,Jp2Hx," ""D211A"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""J, p, 2, H, x"""
illusion_char_134,Whale breaching through waves,low quality,1.5,jKLJR," ""No illusion"""," ""JKUR"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_135,A friendly neighborhood block party gathering,low quality,1.5,fH7D," ""No illusion"""," ""TH7ID"""," ""No illusion"""," ""No illusion"""," ""fh7D"""
illusion_char_136,A vibrant marketplace with vendors selling exotic fruits and spices,low quality,1.5,Wubp," ""No illusion"""," ""Wubp"""," ""No illusion"""," ""No illusion"""," ""Wubp"""
illusion_char_137,A fantasy castle with a moat and drawbridge,low quality,1.5,lub," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""lub"""
illusion_char_138,A romantic candlelit dinner under the stars,low quality,1.5,nRVvw," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""n, R, V, w"""
illusion_char_139,Leopard lounging in tree branches,low quality,1.5,wFIB9," ""ZAQ"""," ""W FIB9"""," ""No illusion"""," ""No illusion"""," ""W, F, I, B, 9"""
illusion_char_140,"Spiral staircase ascends towering crystal tower, city lights twinkle below",low quality,1.5,xQyY," ""No illusion"""," ""x o q y"""," ""No illusion"""," ""No illusion"""," ""x, Q, y, Y"""
illusion_char_141,A misty forest clearing with sunlight filtering through the canopy,low quality,1.5,WxvN," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""WXVN"""
illusion_char_142,"A vast, green meadow with wildflowers and a rainbow",low quality,1.5,utE3," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""u, t, E, 3"""
illusion_char_143,A dark alleyway with neon lights and graffiti,low quality,1.5,qXC," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""q followed by x followed by c"""
illusion_char_144,A sunset over water with a pier in the foreground,low quality,1.5,Cxk," ""No illusion"""," ""cult"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_145,"A lone figure strolls along a moonlit beach, waves crashing softly",low quality,1.5,sM8pw," ""SMILE"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""The sequence of characters in the picture is 'SM8pw'."""
illusion_char_146,A dense jungle alive with the sounds of exotic birds,low quality,1.5,zh2eT," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""The sequence of characters in the picture is ""zh2eT""."""
illusion_char_147,Frozen Niagara Falls shimmering under winter sun,low quality,1.5,XfMS4," ""No illusion"""," ""XMAS"""," ""No illusion"""," ""No illusion"""," ""XfMS4"""
illusion_char_148,Bright bioluminescent plankton lighting up the shoreline,low quality,1.5,5R4," ""No illusion"""," ""SR4"""," ""No illusion"""," ""No illusion"""," ""54321R"""
illusion_char_149,Charming thatched hut beside white sand beach,low quality,1.5,UBII," ""No illusion"""," ""UBUD"""," ""No illusion"""," ""No illusion"""," ""UBII"""
illusion_char_150,"Golden meadow meets waterfall cascade, mountain silhouette looms",low quality,1.5,o1Z," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""No illusion"""," ""o1Z"""
illusion_char_151,Caracal leaping fluidly over rocky terrain,low quality,1.5,7G9dR," ""7G9W4"""," ""7G9DR"""," ""No illusion"""," ""No illusion"""," ""7, G, 9, d, R"""
illusion_char_152,A serene meadow with wildflowers and butterflies,low quality,1.5,OO1xJ," ""No illusion"""," ""0010"""," ""No illusion"""," ""No illusion"""," ""OO1xJ"""
illusion_char_153,A futuristic city with skyscrapers and flying cars,low quality,1.5,LmZqj," ""No illusion"""," ""bmzqla"""," ""No illusion"""," ""No illusion"""," ""No illusion"""
illusion_char_154,A beach with palm trees and a sunset,low quality,1.5,WxdIy," ""No illusion"""," ""wxd ly"""," ""No illusion"""," ""No illusion"""," ""W x d l y"""
